ablation,dataset,condition,corpus_size,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A12,sleep_edf,corpus_500,500,256,64,adaptive,42,0.752369323169499,0.07599863670384242,0.6449056603773585,0.8076374018558172,0.6124756257722798,0.5447705259526882,2026-03-22T02:08:40.455864
A12,sleep_edf,corpus_500,500,256,64,adaptive,123,0.7523484283556151,0.07677436763054775,0.6437735849056604,0.8069236259814417,0.6104998083306288,0.544667816865411,2026-03-22T02:08:40.457368
A12,sleep_edf,corpus_500,500,256,64,adaptive,456,0.7582368035018545,0.0785507520073929,0.6471698113207547,0.815620542082739,0.6208166711350745,0.5559698341473203,2026-03-22T02:08:40.461868
A12,sleep_edf,corpus_500,500,256,64,adaptive,789,0.7534741894221271,0.07546540052062303,0.6467924528301887,0.8094218415417559,0.6139509041019348,0.5469137836975081,2026-03-22T02:08:40.462869
A12,sleep_edf,corpus_500,500,256,64,adaptive,2024,0.7580365526073197,0.08162444042930293,0.6426415094339623,0.818344039971449,0.6183133530141056,0.5561586630993572,2026-03-22T02:08:40.463369
A12,sleep_edf,corpus_1000,1000,256,64,adaptive,42,0.7437872193254996,0.0847288238154259,0.6241509433962265,0.8094218415417559,0.6076342920530359,0.5362769434823311,2026-03-22T02:09:07.004752
A12,sleep_edf,corpus_1000,1000,256,64,adaptive,123,0.7507421144909209,0.07821184129716763,0.640377358490566,0.8122769450392576,0.6206743216557031,0.5481271580639989,2026-03-22T02:09:07.005752
A12,sleep_edf,corpus_1000,1000,256,64,adaptive,456,0.7483802281437973,0.08490891890314747,0.6283018867924528,0.8085681869787325,0.6127402279338768,0.5442394675613706,2026-03-22T02:09:07.006252
A12,sleep_edf,corpus_1000,1000,256,64,adaptive,789,0.724036033030688,0.0701521116336294,0.6305660377358491,0.7995720399429387,0.5893523468035922,0.4993887994590979,2026-03-22T02:09:07.007253
A12,sleep_edf,corpus_1000,1000,256,64,adaptive,2024,0.7547361030173413,0.0875176222739454,0.6313207547169811,0.8245363766048502,0.6183282550044139,0.5561167912555315,2026-03-22T02:09:07.007753
A12,sleep_edf,corpus_2000,2000,256,64,adaptive,42,0.7426800690464281,0.08069033718584236,0.6286792452830189,0.80406852248394,0.6040268733158306,0.5327435101256675,2026-03-22T02:09:32.759094
A12,sleep_edf,corpus_2000,2000,256,64,adaptive,123,0.7471581741592769,0.089958694386839,0.62,0.8141940085592011,0.6061940497227924,0.5433017560068392,2026-03-22T02:09:32.760098
A12,sleep_edf,corpus_2000,2000,256,64,adaptive,456,0.7400042723192998,0.08573745265662651,0.6188679245283019,0.8051391862955032,0.6032145201260056,0.5305151114086101,2026-03-22T02:09:32.761097
A12,sleep_edf,corpus_2000,2000,256,64,adaptive,789,0.7399334985586253,0.08383487799718041,0.6215094339622641,0.80406852248394,0.6014694575241327,0.530127738337271,2026-03-22T02:09:32.761597
A12,sleep_edf,corpus_2000,2000,256,64,adaptive,2024,0.7423605160977594,0.08379572354940983,0.6241509433962265,0.8087080656673805,0.6063889963508217,0.5340223094726483,2026-03-22T02:09:32.762596
A12,sleep_edf,corpus_5000,5000,256,64,adaptive,42,0.7311366336625295,0.07641817617489546,0.6279245283018868,0.8104925053533191,0.5785859284764098,0.5107655583607388,2026-03-22T02:09:58.399340
A12,sleep_edf,corpus_5000,5000,256,64,adaptive,123,0.7332106169587305,0.073613893410362,0.630943396226415,0.8012134189864383,0.5887586871666619,0.5147973177427083,2026-03-22T02:09:58.400339
A12,sleep_edf,corpus_5000,5000,256,64,adaptive,456,0.7210704946196755,0.07115026225347604,0.6237735849056604,0.7919343326195575,0.574304361478679,0.4967346149625373,2026-03-22T02:09:58.401340
A12,sleep_edf,corpus_5000,5000,256,64,adaptive,789,0.7301235208365605,0.07807155082279654,0.6245283018867924,0.8108493932905066,0.5788504873582814,0.5088687811565762,2026-03-22T02:09:58.401841
A12,sleep_edf,corpus_5000,5000,256,64,adaptive,2024,0.7273850959583447,0.07083507168931405,0.630943396226415,0.7990720913633119,0.5871422293052171,0.5070321049507832,2026-03-22T02:09:58.402840
A12,sleep_edf,corpus_all,16512,256,64,adaptive,42,0.7233443470720156,0.07276939931203885,0.6245283018867924,0.797644539614561,0.5770519980942144,0.4981234601457352,2026-03-22T02:10:23.185130
A12,sleep_edf,corpus_all,16512,256,64,adaptive,123,0.7250871668343889,0.07569375453915259,0.6222641509433963,0.8022840827980015,0.5712556138147876,0.49899232078933475,2026-03-22T02:10:23.186131
A12,sleep_edf,corpus_all,16512,256,64,adaptive,456,0.7279614681037526,0.07652953083718049,0.6233962264150943,0.8044254104211278,0.5727133425936766,0.5046860627980861,2026-03-22T02:10:23.186630
A12,sleep_edf,corpus_all,16512,256,64,adaptive,789,0.7359107734753151,0.07641916576415243,0.6290566037735849,0.8033547466095646,0.5818955446058004,0.518639776770471,2026-03-22T02:10:23.187631
A12,sleep_edf,corpus_all,16512,256,64,adaptive,2024,0.7247159530448068,0.07530552294266751,0.6215094339622641,0.7990720913633119,0.5665766219899433,0.4987730112480117,2026-03-22T02:10:23.188131
A12,bci_iv_2a,corpus_500,500,256,64,adaptive,42,0.2517361111111111,0.007500857289823915,0.24131944444444445,0.2586805555555556,0.2517361111111111,0.0023148148148147696,2026-03-22T02:37:23.872181
A12,bci_iv_2a,corpus_500,500,256,64,adaptive,123,0.2505787037037037,0.007807139793537068,0.24131944444444445,0.2604166666666667,0.2505787037037037,0.0007716049382715529,2026-03-22T02:37:23.873681
A12,bci_iv_2a,corpus_500,500,256,64,adaptive,456,0.2523148148148148,0.003567369214681108,0.24826388888888892,0.2569444444444444,0.2523148148148148,0.0030864197530863966,2026-03-22T02:37:23.874181
A12,bci_iv_2a,corpus_500,500,256,64,adaptive,789,0.25636574074074076,0.006391991329390776,0.24826388888888892,0.2638888888888889,0.25636574074074076,0.008487654320987637,2026-03-22T02:37:23.875181
A12,bci_iv_2a,corpus_500,500,256,64,adaptive,2024,0.2523148148148148,0.005366677370078526,0.24479166666666666,0.2569444444444444,0.2523148148148148,0.0030864197530864335,2026-03-22T02:37:23.875681
A12,bci_iv_2a,corpus_1000,1000,256,64,adaptive,42,0.25405092592592593,0.009438371776794026,0.2465277777777778,0.2673611111111111,0.25405092592592593,0.00540123456790124,2026-03-22T02:38:50.252206
A12,bci_iv_2a,corpus_1000,1000,256,64,adaptive,123,0.2586805555555556,0.01500171457964783,0.24479166666666666,0.2795138888888889,0.2586805555555556,0.01157407407407407,2026-03-22T02:38:50.253205
