ablation,dataset,condition,n_windows,window_sec,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A13,sleep_edf,nwin_2,2,15.0,256,64,adaptive,42,0.7313215690409942,0.08555802663252961,0.6120754716981132,0.8087080656673805,0.5988782057527761,0.5212624233438773,2026-03-22T02:12:13.159034
A13,sleep_edf,nwin_2,2,15.0,256,64,adaptive,123,0.7199024919358644,0.10051158757396178,0.5792452830188679,0.807994289793005,0.5769170157705861,0.5046621460664595,2026-03-22T02:12:13.160541
A13,sleep_edf,nwin_2,2,15.0,256,64,adaptive,456,0.7449357133905817,0.06982719165919934,0.6479245283018867,0.8094218415417559,0.6070020454959969,0.5377837456864826,2026-03-22T02:12:13.165044
A13,sleep_edf,nwin_2,2,15.0,256,64,adaptive,789,0.7244789827077117,0.09243726646590253,0.5954716981132075,0.8072805139186295,0.5997617708660931,0.5141775093597948,2026-03-22T02:12:13.166046
A13,sleep_edf,nwin_2,2,15.0,256,64,adaptive,2024,0.7298737164430672,0.08521715613201676,0.6109433962264151,0.8062098501070664,0.582001883090584,0.5132829369414132,2026-03-22T02:12:13.166546
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,42,0.7269337903025628,0.14083336390559273,0.5279245283018867,0.8333333333333334,0.5967830760663402,0.5388807887597985,2026-03-22T02:18:29.144879
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,123,0.7474239311960504,0.1029108715650923,0.6018867924528302,0.8206134094151213,0.6273881455119725,0.5605761439722893,2026-03-22T02:18:29.145878
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,456,0.7420569157923715,0.1090012372162865,0.5879245283018868,0.8211991434689508,0.6306616759519806,0.5534345015045026,2026-03-22T02:18:29.146877
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,789,0.7399118616570832,0.1031199720677576,0.5943396226415094,0.8202567760342369,0.6244978347061932,0.5485895438957362,2026-03-22T02:18:29.147378
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,2024,0.7576127801455357,0.08850177183522016,0.6949352676769035,0.8204853675945754,0.6327423165604407,0.5697037458613924,2026-03-22T02:18:29.148378
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,42,0.717095988455862,0.14630652253482834,0.510188679245283,0.8211991434689508,0.6069374365043897,0.5324372071716794,2026-03-22T02:20:21.934195
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,123,0.7326428301168911,0.12154576012022227,0.5607547169811321,0.8195435092724678,0.6049254824310136,0.5387497369692485,2026-03-22T02:20:21.935697
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,456,0.7488861944984727,0.10264602997350218,0.6037735849056604,0.824768022840828,0.627401328574778,0.5568632359984581,2026-03-22T02:20:21.936197
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,789,0.7540979304931165,0.09322905271264445,0.6222641509433963,0.8215560314061384,0.5842158127184661,0.55001411710557,2026-03-22T02:20:21.937197
A13,sleep_edf,nwin_5,5,6.0,256,64,adaptive,2024,0.7321813546966461,0.111605160390003,0.5747169811320755,0.8202567760342369,0.6003222508222631,0.5389251593944051,2026-03-22T02:20:21.937697
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,42,0.7425871215425787,0.12579821608396483,0.5649056603773585,0.8391583452211128,0.60393026056525,0.5538858314951159,2026-03-22T02:26:21.576445
A13,sleep_edf,nwin_10,10,3.0,256,64,adaptive,123,0.7920680424323776,0.05899603316385944,0.7090566037735849,0.8408279800142755,0.6347427611949003,0.6128224690913154,2026-03-22T02:26:21.577951
