ablation,dataset,condition,sub_epoch_sec,vocab_size,n_bins,method,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A15,sleep_edf,5s,5.0,256,64,adaptive,42,0.6923487060621332,0.08369320504394878,0.5767924528301887,0.7723054960742327,0.5816377056588685,0.47595122104636295,2026-03-22T01:38:00.179800
A15,sleep_edf,5s,5.0,256,64,adaptive,123,0.6674850492892621,0.038342977419417466,0.6237735849056604,0.7171302900618165,0.5712528436514577,0.4377156153062332,2026-03-22T01:38:00.184802
A15,sleep_edf,5s,5.0,256,64,adaptive,456,0.6761581260913622,0.0779052083460513,0.5809433962264151,0.771770164168451,0.5606964872670893,0.4522238724903153,2026-03-22T01:38:00.185802
A15,sleep_edf,5s,5.0,256,64,adaptive,789,0.6932980772106175,0.08044965169171558,0.5852830188679246,0.7782536283606948,0.5775648665033101,0.4733197436503183,2026-03-22T01:38:00.186803
A15,sleep_edf,5s,5.0,256,64,adaptive,2024,0.6830762856336211,0.09239739380796921,0.5531446540880504,0.7600523435641208,0.5677323682744376,0.4615091355034022,2026-03-22T01:38:00.187803
A15,sleep_edf,10s,10.0,256,64,adaptive,42,0.6686746398738612,0.12384972098650847,0.4937106918238994,0.7631453723530811,0.5615056154274777,0.4500753945473674,2026-03-22T01:41:45.676021
A15,sleep_edf,10s,10.0,256,64,adaptive,123,0.6981255353300378,0.1088804935390339,0.5477987421383648,0.8021651201522721,0.5971566365466808,0.4866162197178645,2026-03-22T01:41:45.677020
A15,sleep_edf,10s,10.0,256,64,adaptive,456,0.7188484608651767,0.0698069301199234,0.6236477987421384,0.7890792291220556,0.6047132437229316,0.5029251202111524,2026-03-22T01:41:45.677519
A15,sleep_edf,10s,10.0,256,64,adaptive,789,0.7110967835083087,0.08901644708642634,0.589685534591195,0.8006186057577921,0.6058806421558942,0.4983991715656364,2026-03-22T01:41:45.678521
A15,sleep_edf,10s,10.0,256,64,adaptive,2024,0.7165093949729906,0.07550631573956604,0.6148427672955975,0.7956221746371638,0.6096503782945026,0.50351954985501,2026-03-22T01:41:45.679520
A15,sleep_edf,15s,15.0,256,64,adaptive,42,0.7029452803721229,0.0911120799214966,0.5784905660377359,0.7940756602426838,0.5883549058076826,0.4831908102528293,2026-03-22T01:43:58.024540
A15,sleep_edf,15s,15.0,256,64,adaptive,123,0.7080382801320586,0.088569227207731,0.5871698113207547,0.7969307637401856,0.5971576215332947,0.49254850289084384,2026-03-22T01:43:58.025546
A15,sleep_edf,15s,15.0,256,64,adaptive,456,0.7101814921762616,0.08924538836991629,0.5873584905660377,0.7967523197715917,0.6000611909979152,0.4944318381708957,2026-03-22T01:43:58.026545
A15,sleep_edf,15s,15.0,256,64,adaptive,789,0.7070911327383428,0.08970780442219528,0.5841509433962264,0.7956816559600286,0.5945843728774897,0.4897961381832954,2026-03-22T01:43:58.027043
A15,sleep_edf,15s,15.0,256,64,adaptive,2024,0.7101451083317661,0.09183769818046647,0.5852830188679246,0.8035331905781584,0.5981186901893106,0.4949034452202344,2026-03-22T01:43:58.028045
A15,sleep_edf,full_30s,30.0,256,64,adaptive,42,0.7370517867870472,0.07900272134094924,0.6264150943396226,0.8058529621698787,0.5924482339867696,0.5220272175892291,2026-03-22T01:44:28.846495
A15,sleep_edf,full_30s,30.0,256,64,adaptive,123,0.7284934341668313,0.07619430036614076,0.6264150943396226,0.8094218415417559,0.577896156714434,0.5064790821081556,2026-03-22T01:44:28.847490
A15,sleep_edf,full_30s,30.0,256,64,adaptive,456,0.7314347826847075,0.07293661471832275,0.6313207547169811,0.8029978586723768,0.5836375104732381,0.5112300690545439,2026-03-22T01:44:28.847990
A15,sleep_edf,full_30s,30.0,256,64,adaptive,789,0.7282397405372599,0.07452804608914544,0.6256603773584906,0.8004996431120629,0.5749750949028202,0.5047223999383094,2026-03-22T01:44:28.848990
A15,sleep_edf,full_30s,30.0,256,64,adaptive,2024,0.7252815275842429,0.07292696098924288,0.6264150943396226,0.8001427551748751,0.5698794229453861,0.4992889324556737,2026-03-22T01:44:28.849490
