ablation,dataset,method,n_bins,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A1,bci_iv_2a,uniform,64,4096,42,0.27469135802469136,0.01775739424824855,0.26504629629629634,0.2874228395061728,0.27469135802469136,0.03292181069958847,2026-03-12T02:12:40.059761
A1,bci_iv_2a,uniform,64,4096,123,0.2727623456790123,0.018363143838429435,0.26156925154320987,0.2855034722222223,0.2727623456790123,0.0303497942386831,2026-03-12T02:12:40.061266
A1,bci_iv_2a,uniform,64,4096,456,0.27391975308641975,0.017643873576048023,0.2633101851851853,0.2864583333333333,0.2739197530864197,0.03189300411522633,2026-03-12T02:12:40.066437
A1,bci_iv_2a,uniform,64,4096,789,0.27353395061728397,0.0175168766739915,0.2638888888888889,0.28530574845679013,0.2735339506172839,0.031378600823045256,2026-03-12T02:12:40.067301
A1,bci_iv_2a,uniform,64,4096,2024,0.27314814814814814,0.017780429971918067,0.26253858024691357,0.2860773533950618,0.27314814814814814,0.0308641975308642,2026-03-12T02:12:40.068305
A1,bci_iv_2a,mu_law,64,4096,42,0.2862654320987654,0.03599559779876017,0.2654272762345679,0.30883487654320985,0.2862654320987654,0.04835390946502054,2026-03-12T02:16:34.529010
A1,bci_iv_2a,mu_law,64,4096,123,0.28491512345679015,0.03549906865485329,0.26330536265432103,0.3080729166666667,0.28491512345679015,0.04655349794238681,2026-03-12T02:16:34.530009
A1,bci_iv_2a,mu_law,64,4096,456,0.2858796296296296,0.03485699154253612,0.2650462962962963,0.3107735339506173,0.2858796296296296,0.04783950617283951,2026-03-12T02:16:34.531008
A1,bci_iv_2a,mu_law,64,4096,789,0.28530092592592593,0.03579552568100027,0.2631076388888889,0.3101851851851852,0.28530092592592593,0.04706790123456791,2026-03-12T02:16:34.531508
A1,bci_iv_2a,mu_law,64,4096,2024,0.28530092592592593,0.035513740723533006,0.2636863425925926,0.3096161265432099,0.28530092592592593,0.047067901234567895,2026-03-12T02:16:34.532513
A1,bci_iv_2a,adaptive,64,4096,42,0.2802854938271605,0.02430708646952145,0.26601080246913583,0.2976514274691358,0.2802854938271605,0.040380658436213995,2026-03-12T02:20:27.962233
A1,bci_iv_2a,adaptive,64,4096,123,0.2797067901234568,0.02500434585379068,0.2631172839506173,0.2951388888888889,0.2797067901234568,0.03960905349794239,2026-03-12T02:20:27.964239
A1,bci_iv_2a,adaptive,64,4096,456,0.2798996913580247,0.0254337187096443,0.2642746913580247,0.29765142746913575,0.2798996913580247,0.039866255144032935,2026-03-12T02:20:27.965239
A1,bci_iv_2a,adaptive,64,4096,789,0.279320987654321,0.02480262833402072,0.2650414737654321,0.29649402006172837,0.279320987654321,0.03909465020576133,2026-03-12T02:20:27.966239
A1,bci_iv_2a,adaptive,64,4096,2024,0.27951388888888895,0.02453867482304883,0.26466049382716045,0.29706790123456783,0.27951388888888895,0.03935185185185183,2026-03-12T02:20:27.967239
A1,sleep_edf,uniform,64,4096,42,0.7009761724643734,0.12697437136598141,0.5918308667919561,0.8101214781367906,0.5865387817620931,0.47471694858096447,2026-03-12T05:09:22.340927
A1,sleep_edf,uniform,64,4096,123,0.6314761524663302,0.249476150755325,0.38700158085962044,0.8305694036021736,0.5853312132783658,0.43566503013171387,2026-03-12T05:09:22.343418
A1,sleep_edf,uniform,64,4096,456,0.754831517529501,0.09157150767132365,0.6761078744363551,0.8335551606226466,0.6152656785589331,0.5496037761386153,2026-03-12T05:09:22.344418
A1,sleep_edf,uniform,64,4096,789,0.7310843841981568,0.10622184821051953,0.624666173620897,0.8111564463251965,0.565086347013758,0.50540094016156,2026-03-12T05:09:22.345418
A1,sleep_edf,uniform,64,4096,2024,0.7184282193587384,0.11414620674875489,0.614611262092762,0.8096284064780079,0.5981793480923108,0.5009796721686208,2026-03-12T05:09:22.346418
A1,sleep_edf,mu_law,64,4096,42,0.7363691353913262,0.09462010725035938,0.6539573897707823,0.8187808810118702,0.5955594359914423,0.511865526928764,2026-03-12T05:39:06.012211
A1,sleep_edf,mu_law,64,4096,123,0.6873818499215648,0.21651118876827832,0.4679642269311888,0.8205674578775533,0.5789781176275556,0.48393381570379085,2026-03-12T05:39:06.018710
A1,sleep_edf,mu_law,64,4096,456,0.6180375271637871,0.2752137134149465,0.38973143281724576,0.8212437371608134,0.4815138266114478,0.4326501452576553,2026-03-12T05:39:06.021212
A1,sleep_edf,mu_law,64,4096,789,0.7215829589428875,0.17170984171599502,0.5507646410587206,0.8380173050627926,0.5697043665655476,0.5126283029754386,2026-03-12T05:39:06.022211
A1,sleep_edf,mu_law,64,4096,2024,0.733546962074442,0.05467803002963909,0.6870958843298313,0.7799980398190526,0.5573585900045244,0.4807716965998853,2026-03-12T05:39:06.023712
A1,sleep_edf,adaptive,64,4096,42,0.7608914150014401,0.041935345856067514,0.7185122790924845,0.7925552517661162,0.5969147666207828,0.532047063482961,2026-03-12T06:05:39.915311
A1,sleep_edf,adaptive,64,4096,123,0.7609147435690347,0.050266145743284384,0.7138329357107097,0.8016297872689492,0.6141797429372584,0.5281950084276296,2026-03-12T06:05:39.922801
A1,sleep_edf,adaptive,64,4096,456,0.783111888595051,0.029486006165454458,0.7567042360658557,0.8069201574954274,0.6217065792590605,0.5754158351257785,2026-03-12T06:05:39.924303
A1,sleep_edf,adaptive,64,4096,789,0.672620762177092,0.14990110213587007,0.5228324899605733,0.7717217957842044,0.5584349326472228,0.4441395670290662,2026-03-12T06:05:39.925801
A1,sleep_edf,adaptive,64,4096,2024,0.7313199171748825,0.042465575941428,0.6913892067863442,0.7697016602039473,0.5924406349793334,0.49233585299179106,2026-03-12T06:05:39.926801
A1,bci_iv_2a,uniform,64,1024,42,0.25925925925925924,0.019245705032773012,0.24479166666666666,0.2864583333333333,0.25925925925925924,0.012345679012345734,2026-03-21T22:36:54.024235
A1,bci_iv_2a,uniform,64,1024,123,0.26215277777777773,0.01770492886664161,0.24479166666666666,0.2864583333333333,0.26215277777777773,0.01620370370370372,2026-03-21T22:36:54.025738
A1,bci_iv_2a,uniform,64,1024,456,0.25925925925925924,0.019349830436690373,0.24305555555555555,0.2864583333333333,0.25925925925925924,0.01234567901234566,2026-03-21T22:36:54.026238
A1,bci_iv_2a,uniform,64,1024,789,0.25983796296296297,0.017610097285535798,0.2465277777777778,0.2847222222222222,0.25983796296296297,0.013117283950617287,2026-03-21T22:36:54.027238
A1,bci_iv_2a,uniform,64,1024,2024,0.25810185185185186,0.019035745605785324,0.24131944444444445,0.2847222222222222,0.25810185185185186,0.010802469135802406,2026-03-21T22:36:54.027738
A1,bci_iv_2a,mu_law,64,1024,42,0.2789351851851852,0.022606510398871064,0.24826388888888892,0.3020833333333333,0.2789351851851852,0.03858024691358023,2026-03-21T22:38:47.438131
A1,bci_iv_2a,mu_law,64,1024,123,0.2795138888888889,0.02145110300098453,0.25,0.3003472222222222,0.2795138888888889,0.03935185185185186,2026-03-21T22:38:47.439633
A1,bci_iv_2a,mu_law,64,1024,456,0.27951388888888884,0.02281296683382756,0.24826388888888892,0.3020833333333333,0.2795138888888889,0.039351851851851825,2026-03-21T22:38:47.440132
A1,bci_iv_2a,mu_law,64,1024,789,0.27777777777777773,0.02044389089427742,0.25,0.2986111111111111,0.27777777777777773,0.037037037037037014,2026-03-21T22:38:47.441132
A1,bci_iv_2a,mu_law,64,1024,2024,0.27719907407407407,0.023563973462386943,0.2465277777777778,0.3038194444444444,0.27719907407407407,0.03626543209876546,2026-03-21T22:38:47.441632
A1,bci_iv_2a,mu_law,64,1024,42,0.2789351851851852,0.02123140778685664,0.25,0.3003472222222222,0.2789351851851852,0.03858024691358027,2026-03-21T22:38:48.236494
A1,bci_iv_2a,mu_law,64,1024,123,0.28125,0.0232059463608373,0.25,0.3055555555555556,0.28125,0.041666666666666664,2026-03-21T22:38:48.237493
A1,bci_iv_2a,mu_law,64,1024,456,0.27546296296296297,0.020558240356865286,0.25,0.3003472222222222,0.27546296296296297,0.03395061728395062,2026-03-21T22:38:48.237994
A1,bci_iv_2a,mu_law,64,1024,789,0.2795138888888889,0.02145110300098453,0.25,0.3003472222222222,0.2795138888888889,0.03935185185185186,2026-03-21T22:38:48.238994
A1,bci_iv_2a,mu_law,64,1024,2024,0.2766203703703704,0.022021177766713473,0.2465277777777778,0.2986111111111111,0.2766203703703704,0.03549382716049384,2026-03-21T22:38:48.239994
A1,bci_iv_2a,adaptive,64,1024,42,0.27546296296296297,0.01025465575617441,0.2673611111111111,0.2899305555555556,0.27546296296296297,0.03395061728395058,2026-03-21T22:40:15.621042
A1,bci_iv_2a,adaptive,64,1024,123,0.27488425925925924,0.006698979689114716,0.265625,0.28125,0.27488425925925924,0.03317901234567903,2026-03-21T22:40:15.622042
A1,bci_iv_2a,adaptive,64,1024,456,0.27662037037037035,0.008305960702782013,0.2690972222222222,0.2881944444444444,0.27662037037037035,0.0354938271604938,2026-03-21T22:40:15.622542
A1,bci_iv_2a,adaptive,64,1024,789,0.2748842592592593,0.00713473842936224,0.265625,0.2829861111111111,0.2748842592592593,0.03317901234567903,2026-03-21T22:40:15.623542
A1,bci_iv_2a,adaptive,64,1024,2024,0.2760416666666667,0.004910463758239922,0.2725694444444444,0.2829861111111111,0.2760416666666667,0.03472222222222221,2026-03-21T22:40:15.624042
A1,bci_iv_2a,adaptive,64,1024,42,0.27372685185185186,0.005728874384613236,0.2673611111111111,0.28125,0.27372685185185186,0.031635802469135776,2026-03-21T22:40:16.471255
A1,bci_iv_2a,adaptive,64,1024,123,0.277199074074074,0.0071347384293622374,0.2690972222222222,0.2864583333333333,0.277199074074074,0.03626543209876543,2026-03-21T22:40:16.472759
A1,bci_iv_2a,adaptive,64,1024,456,0.2777777777777778,0.00885246443332082,0.2690972222222222,0.2899305555555556,0.2777777777777778,0.037037037037037014,2026-03-21T22:40:16.473759
A1,bci_iv_2a,adaptive,64,1024,789,0.277199074074074,0.006547285010986554,0.2725694444444444,0.2864583333333333,0.277199074074074,0.03626543209876543,2026-03-21T22:40:16.474259
A1,bci_iv_2a,adaptive,64,1024,2024,0.27314814814814814,0.008305960702782013,0.265625,0.2847222222222222,0.27314814814814814,0.030864197530864185,2026-03-21T22:40:16.475260
A1,sleep_edf,uniform,64,1024,42,0.5545837331708426,0.18360711688271042,0.2969811320754717,0.7116345467523196,0.5804610914112924,0.3605593223043237,2026-03-21T22:59:10.512845
A1,sleep_edf,uniform,64,1024,123,0.5405895506052776,0.20910421382025066,0.2467924528301887,0.7166309778729479,0.5601569526178446,0.3509728174019689,2026-03-21T22:59:10.514348
A1,sleep_edf,uniform,64,1024,456,0.5379422921692992,0.1996630302440166,0.2581132075471698,0.7105638829407566,0.5464761460316359,0.341508143821792,2026-03-21T22:59:10.515348
A1,sleep_edf,uniform,64,1024,789,0.5556177408106951,0.18126942959675804,0.30150943396226415,0.7119914346895074,0.5637432655372457,0.3553973503357777,2026-03-21T22:59:10.516348
A1,sleep_edf,uniform,64,1024,2024,0.5344582015636238,0.21197106025647025,0.23660377358490567,0.7127052105638829,0.537185322375559,0.3398960224484793,2026-03-21T22:59:10.516848
A1,sleep_edf,uniform,64,1024,42,0.5204500812239533,0.20043464405416517,0.24415094339622642,0.7134189864382584,0.5434015855885655,0.328933322984991,2026-03-21T22:59:12.218169
A1,sleep_edf,uniform,64,1024,123,0.533982520684909,0.21163683496742644,0.23660377358490567,0.7119914346895074,0.5602918723599369,0.34604452963414994,2026-03-21T22:59:12.219670
A1,sleep_edf,uniform,64,1024,456,0.545625960898013,0.19739669824800765,0.26867924528301884,0.7144896502498216,0.560344735810152,0.3514171645221887,2026-03-21T22:59:12.220669
A1,sleep_edf,uniform,64,1024,789,0.5522354159874897,0.18558802873360944,0.2920754716981132,0.7123483226266952,0.5781471150411422,0.3610567006315007,2026-03-21T22:59:12.221169
A1,sleep_edf,uniform,64,1024,2024,0.5398463663374898,0.2051362068045571,0.25169811320754715,0.7130620985010707,0.5635607070619745,0.35086514909393934,2026-03-21T22:59:12.222169
A1,sleep_edf,mu_law,64,1024,42,0.6725437364391533,0.17897899760453848,0.4207547169811321,0.820842255531763,0.5591472626619437,0.47602625590818387,2026-03-21T23:03:57.993740
A1,sleep_edf,mu_law,64,1024,123,0.704229446831094,0.12185325709082981,0.5347169811320754,0.815845824411135,0.6017945834061469,0.5045789666322564,2026-03-21T23:03:57.995244
A1,sleep_edf,mu_law,64,1024,456,0.6881556877109419,0.1429753416955378,0.4879245283018869,0.8126338329764454,0.5833306528895826,0.4867154946305072,2026-03-21T23:03:57.996242
A1,sleep_edf,mu_law,64,1024,789,0.689944751740331,0.1397780427154183,0.49471698113207546,0.814418272662384,0.6013902472911651,0.49454253961252265,2026-03-21T23:03:57.997242
A1,sleep_edf,mu_law,64,1024,2024,0.6689934748350025,0.16714227699866185,0.43471698113207546,0.8133476088508208,0.5773993705415158,0.4707794951424127,2026-03-21T23:03:57.997742
A1,sleep_edf,mu_law,64,1024,42,0.6905256070865248,0.15455869568357603,0.47433962264150936,0.8265524625267666,0.5585251729157031,0.49178459936519214,2026-03-21T23:04:11.028068
A1,sleep_edf,mu_law,64,1024,123,0.65171190868628,0.1363173771019758,0.45924528301886786,0.7574893009985736,0.5376540884442602,0.4262293519828895,2026-03-21T23:04:11.029067
A1,sleep_edf,mu_law,64,1024,456,0.580999777982076,0.293337387922836,0.16716981132075473,0.8129907209136332,0.540812572787222,0.42646460735146113,2026-03-21T23:04:11.030067
A1,sleep_edf,mu_law,64,1024,789,0.6729251027025818,0.10377974137173168,0.5271698113207547,0.7606990014265337,0.5682345148672548,0.44854607093556415,2026-03-21T23:04:11.031066
A1,sleep_edf,mu_law,64,1024,2024,0.6772671341831722,0.15619984399462364,0.45811320754716983,0.8108493932905066,0.5705170675293113,0.4759774365056843,2026-03-21T23:04:11.032066
A1,sleep_edf,adaptive,64,1024,42,0.7325294383157853,0.06753685958379484,0.639245283018868,0.7969307637401856,0.5792186029030048,0.5101679704638763,2026-03-21T23:04:49.587472
A1,sleep_edf,adaptive,64,1024,123,0.7348021946710972,0.06576652546544637,0.6464150943396226,0.80406852248394,0.582894318741782,0.5134209916499786,2026-03-21T23:04:49.588976
A1,sleep_edf,adaptive,64,1024,456,0.7306387003363134,0.07536744641093643,0.6267924528301887,0.8033547466095646,0.5710425999014378,0.506488691625635,2026-03-21T23:04:49.589975
A1,sleep_edf,adaptive,64,1024,789,0.7340964232636438,0.06816354375599375,0.640377358490566,0.8004996431120629,0.5810108612457313,0.512316656843374,2026-03-21T23:04:49.590975
A1,sleep_edf,adaptive,64,1024,2024,0.7316903853904945,0.06741188689306594,0.6388679245283019,0.7969307637401856,0.5790267364646895,0.5082027387663854,2026-03-21T23:04:49.591475
