ablation,dataset,method,n_bins,vocab_size,condition,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A2,bci_iv_2a,mu_law,64,512,proportional_V,42,0.27199074074074076,0.02044389089427743,0.25846836419753083,0.2854938271604938,0.27199074074074076,0.02932098765432097,2026-03-12T02:22:20.833524
A2,bci_iv_2a,mu_law,64,512,proportional_V,123,0.2735339506172839,0.01983039703070431,0.2611834490740741,0.28684895833333335,0.2735339506172839,0.031378600823045284,2026-03-12T02:22:20.835529
A2,bci_iv_2a,mu_law,64,512,proportional_V,456,0.27218364197530864,0.020942003388074216,0.25848765432098764,0.28665605709876546,0.27218364197530864,0.029578189300411523,2026-03-12T02:22:20.840457
A2,bci_iv_2a,mu_law,64,512,proportional_V,789,0.27295524691358025,0.020570906615383154,0.25887345679012347,0.2860918209876543,0.27295524691358025,0.030606995884773645,2026-03-12T02:22:20.841296
A2,bci_iv_2a,mu_law,64,512,proportional_V,2024,0.27295524691358025,0.0205056825091332,0.2600308641975309,0.28607253086419754,0.27295524691358025,0.030606995884773655,2026-03-12T02:22:20.842300
A2,bci_iv_2a,mu_law,64,512,fixed_V,42,0.27199074074074076,0.020411101954338418,0.25732542438271605,0.28491994598765435,0.27199074074074076,0.029320987654321007,2026-03-12T02:23:41.310152
A2,bci_iv_2a,mu_law,64,512,fixed_V,123,0.2723765432098766,0.019666467709773046,0.2598331404320988,0.28510802469135804,0.2723765432098766,0.029835390946502068,2026-03-12T02:23:41.311658
A2,bci_iv_2a,mu_law,64,512,fixed_V,456,0.27314814814814814,0.02029592351475716,0.25925443672839504,0.28588445216049385,0.27314814814814814,0.03086419753086421,2026-03-12T02:23:41.312658
A2,bci_iv_2a,mu_law,64,512,fixed_V,789,0.27199074074074076,0.019963180915116133,0.2588686342592592,0.2837577160493827,0.27199074074074076,0.029320987654320983,2026-03-12T02:23:41.313658
A2,bci_iv_2a,mu_law,64,512,fixed_V,2024,0.27199074074074076,0.020312417563407684,0.25886863425925927,0.2849151234567901,0.27199074074074076,0.029320987654320983,2026-03-12T02:23:41.314658
A2,bci_iv_2a,mu_law,128,1024,proportional_V,42,0.2679398148148148,0.02166857086440863,0.25539641203703706,0.2816358024691358,0.26793981481481477,0.023919753086419755,2026-03-12T02:26:08.986328
A2,bci_iv_2a,mu_law,128,1024,proportional_V,123,0.26890432098765427,0.01959823380731291,0.25655864197530864,0.2822193287037037,0.2689043209876543,0.025205761316872417,2026-03-12T02:26:08.987828
