ablation,dataset,condition,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A4,bci_iv_2a,channel_independent,42,0.2739197530864198,0.016707964238836793,0.2642746913580247,0.28530092592592593,0.27391975308641975,0.031893004115226345,2026-03-12T02:46:48.032574
A4,bci_iv_2a,channel_independent,123,0.2752700617283951,0.017169293557142463,0.2652391975308642,0.287037037037037,0.2752700617283951,0.03369341563786009,2026-03-12T02:46:48.035578
A4,bci_iv_2a,channel_independent,456,0.27391975308641975,0.016748004684527966,0.26446759259259256,0.28607253086419754,0.27391975308641975,0.03189300411522636,2026-03-12T02:46:48.040722
A4,bci_iv_2a,channel_independent,789,0.2727623456790123,0.018087512607609643,0.26195987654320985,0.2856867283950617,0.27276234567901236,0.03034979423868314,2026-03-12T02:46:48.041674
A4,bci_iv_2a,channel_independent,2024,0.27469135802469136,0.019172092604874156,0.263305362654321,0.2876157407407407,0.27469135802469136,0.03292181069958847,2026-03-12T02:46:48.042679
A4,bci_iv_2a,spatial_vq,42,0.3288966049382716,0.08899669415356774,0.2735146604938271,0.3921971450617283,0.3288966049382716,0.10519547325102882,2026-03-12T02:46:48.044178
A4,bci_iv_2a,spatial_vq,123,0.33024691358024694,0.08837992738483148,0.27719425154320987,0.3925588348765432,0.33024691358024694,0.10699588477366255,2026-03-12T02:46:48.045177
A4,bci_iv_2a,spatial_vq,456,0.3254243827160494,0.08520559113256572,0.27391493055555555,0.3813657407407407,0.3254243827160494,0.10056584362139917,2026-03-12T02:46:48.046178
A4,bci_iv_2a,spatial_vq,789,0.3258101851851851,0.08678626328827528,0.27236689814814813,0.38600019290123455,0.3258101851851851,0.10108024691358025,2026-03-12T02:46:48.047178
A4,bci_iv_2a,spatial_vq,2024,0.32581018518518523,0.08469660359479492,0.27353395061728397,0.38794849537037035,0.32581018518518523,0.10108024691358025,2026-03-12T02:46:48.048178
A4,sleep_edf,channel_independent,42,0.7616898058496074,0.04927637142326916,0.7153979001839725,0.8003041493272999,0.6095230211909456,0.5370043974473274,2026-03-12T08:08:37.028408
A4,sleep_edf,channel_independent,123,0.702164902907011,0.0902044762507627,0.6095151750639248,0.7701329352856005,0.5591925683112147,0.4391741557162782,2026-03-12T08:08:37.030414
A4,sleep_edf,channel_independent,456,0.6889242885629127,0.06872911543945422,0.6305124477256913,0.753577277719498,0.5686305750528194,0.4557358416913487,2026-03-12T08:08:37.030914
A4,sleep_edf,channel_independent,789,0.7404240662518624,0.093892678839677,0.6512150135045979,0.8142536997356675,0.6150023731947082,0.5208946361633968,2026-03-12T08:08:37.031913
A4,sleep_edf,channel_independent,2024,0.6037668579454211,0.28332360863368944,0.31486070512505115,0.8055163788489288,0.5338328074362816,0.4202297217115237,2026-03-12T08:08:37.032914
A4,sleep_edf,spatial_vq,42,0.8452363005037753,0.022249943426006353,0.8276155848418428,0.8642000324657072,0.6555998758197562,0.6672889732981149,2026-03-12T08:08:37.033414
A4,sleep_edf,spatial_vq,123,0.8572490077360353,0.02434772677318884,0.8377076365243228,0.8793528746905445,0.6665240050964026,0.6842151022313836,2026-03-12T08:08:37.034414
A4,sleep_edf,spatial_vq,456,0.8591395758614319,0.027245022044091762,0.8368336022265623,0.8818123073052193,0.6615869118537006,0.7024006469932996,2026-03-12T08:08:37.034914
A4,sleep_edf,spatial_vq,789,0.821640087127512,0.053927359530733215,0.7677442026041555,0.860305174512024,0.6487416309133225,0.6356433277973895,2026-03-12T08:08:37.035914
A4,sleep_edf,spatial_vq,2024,0.8195097182207653,0.05282326736687012,0.7678744442373995,0.8531157339994433,0.6460172471544086,0.6378413737042115,2026-03-12T08:08:37.036914
