ablation,dataset,condition,n_artifact_tokens,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A5,bci_iv_2a,with_artifacts,153,42,0.2743055555555556,0.016772426789571113,0.2648485725308642,0.28588445216049385,0.2743055555555556,0.032407407407407406,2026-03-12T02:52:46.929568
A5,bci_iv_2a,with_artifacts,153,123,0.27295524691358025,0.01864068819140129,0.2613811728395061,0.28569637345679016,0.27295524691358025,0.03060699588477367,2026-03-12T02:52:46.931068
A5,bci_iv_2a,with_artifacts,153,456,0.2744984567901234,0.017732230238088578,0.2642746913580247,0.28665123456790126,0.27449845679012347,0.032664609053497946,2026-03-12T02:52:46.935566
A5,bci_iv_2a,with_artifacts,153,789,0.2735339506172839,0.01947251733533162,0.2619550540123457,0.28704185956790124,0.2735339506172839,0.03137860082304527,2026-03-12T02:52:46.937069
A5,bci_iv_2a,with_artifacts,153,2024,0.2748842592592593,0.01813476807406527,0.26407696759259264,0.28780864197530864,0.27488425925925924,0.03317901234567902,2026-03-12T02:52:46.938069
A5,bci_iv_2a,without_artifacts,153,42,0.27141203703703703,0.015953760129734054,0.2615740740740741,0.2831838348765432,0.27141203703703703,0.028549382716049367,2026-03-12T02:52:46.939069
A5,bci_iv_2a,without_artifacts,153,123,0.27121913580246915,0.015864880551660562,0.26176215277777776,0.2827980324074075,0.27121913580246915,0.02829218106995885,2026-03-12T02:52:46.940069
A5,bci_iv_2a,without_artifacts,153,456,0.271412037037037,0.016772426789571106,0.261376350308642,0.28203125,0.271412037037037,0.02854938271604938,2026-03-12T02:52:46.941068
A5,bci_iv_2a,without_artifacts,153,789,0.2710262345679012,0.016580531594864424,0.26099537037037035,0.28183352623456787,0.2710262345679012,0.028034979423868307,2026-03-12T02:52:46.942068
A5,bci_iv_2a,without_artifacts,153,2024,0.27044753086419754,0.016787949631199523,0.2604166666666667,0.2826003086419753,0.27044753086419754,0.027263374485596705,2026-03-12T02:52:46.943068
A5,sleep_edf,with_artifacts,204,42,0.7357816726248064,0.16271406321340068,0.5743016085036737,0.8554094176335567,0.5941117280931222,0.5283714775492243,2026-03-12T09:03:59.903749
A5,sleep_edf,with_artifacts,204,123,0.7435006519638072,0.08389912562895208,0.6579840780475656,0.7915134916635976,0.5934275858787905,0.509205297250779,2026-03-12T09:03:59.911750
A5,sleep_edf,with_artifacts,204,456,0.7830630259007965,0.07031168111681672,0.7223480197221155,0.8437780320794774,0.622550093748041,0.5855245377750056,2026-03-12T09:03:59.913250
A5,sleep_edf,with_artifacts,204,789,0.6540062589721471,0.23376807009517536,0.4099112846777415,0.805613629504567,0.5713138625358035,0.4542072653715354,2026-03-12T09:03:59.914752
A5,sleep_edf,with_artifacts,204,2024,0.7461352389316072,0.12295663190238056,0.627530012764491,0.8421185741635933,0.5878174628194243,0.5364699681349557,2026-03-12T09:03:59.915749
