ablation,dataset,condition,classifier,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A7,bci_iv_2a,BPE,Hist_LogReg,4096,42,0.27488425925925924,0.017341810258995026,0.2638888888888889,0.2874228395061728,0.27488425925925924,0.03317901234567902,2026-03-12T02:55:45.901595
A7,bci_iv_2a,BPE,Hist_LogReg,4096,123,0.27449845679012347,0.017234189694592634,0.2640817901234568,0.28665123456790126,0.27449845679012347,0.03266460905349796,2026-03-12T02:55:45.906794
A7,bci_iv_2a,BPE,Hist_LogReg,4096,456,0.27372685185185186,0.018318509017759735,0.26291956018518514,0.2864631558641975,0.27372685185185186,0.031635802469135804,2026-03-12T02:55:45.908118
A7,bci_iv_2a,BPE,Hist_LogReg,4096,789,0.27314814814814814,0.018982892901454544,0.26195987654320985,0.2862654320987654,0.27314814814814814,0.03086419753086421,2026-03-12T02:55:45.909122
A7,bci_iv_2a,BPE,Hist_LogReg,4096,2024,0.27411265432098764,0.018363143838429432,0.26350308641975306,0.28684413580246915,0.27411265432098764,0.032150205761316886,2026-03-12T02:55:45.910124
A7,bci_iv_2a,BPE,Seq_CNN,4096,42,0.27854938271604934,0.02230992638086568,0.26446759259259256,0.29475308641975306,0.27854938271604934,0.03806584362139917,2026-03-12T02:56:37.970652
A7,bci_iv_2a,BPE,Seq_CNN,4096,123,0.26543209876543206,0.015276998358968627,0.255396412037037,0.2750771604938272,0.26543209876543206,0.020576131687242802,2026-03-12T02:57:02.511613
A7,bci_iv_2a,BPE,Seq_CNN,4096,456,0.2640817901234568,0.024311678633006407,0.25,0.2814429012345679,0.2640817901234568,0.018775720164609044,2026-03-12T02:57:27.421361
A7,bci_iv_2a,BPE,Seq_CNN,4096,789,0.2669753086419753,0.019328665200424925,0.2555893132716049,0.27951871141975315,0.2669753086419753,0.022633744855967093,2026-03-12T02:57:50.582689
A7,bci_iv_2a,BPE,Seq_CNN,4096,2024,0.2696759259259259,0.02864437192306616,0.2511525848765432,0.28761574074074076,0.26967592592592593,0.02623456790123455,2026-03-12T02:58:18.037766
A7,bci_iv_2a,Random_Merges,Hist_LogReg,4096,42,0.27372685185185186,0.02036181954370277,0.26003086419753085,0.28742766203703707,0.27372685185185186,0.031635802469135804,2026-03-12T03:00:31.949772
A7,bci_iv_2a,Random_Merges,Hist_LogReg,4096,123,0.27391975308641975,0.020391038313235698,0.2613811728395061,0.2868441358024691,0.27391975308641975,0.03189300411522633,2026-03-12T03:00:31.952272
A7,bci_iv_2a,Random_Merges,Hist_LogReg,4096,456,0.27372685185185186,0.02086545877004623,0.2606047453703703,0.28646315586419757,0.27372685185185186,0.03163580246913581,2026-03-12T03:00:31.953272
A7,bci_iv_2a,Random_Merges,Hist_LogReg,4096,789,0.2719907407407407,0.020639530671443307,0.25790895061728397,0.2854938271604939,0.2719907407407407,0.02932098765432097,2026-03-12T03:00:31.954272
A7,bci_iv_2a,Random_Merges,Hist_LogReg,4096,2024,0.27334104938271603,0.02028125087700726,0.2613811728395062,0.2858796296296296,0.2733410493827161,0.03112139917695473,2026-03-12T03:00:31.955272
A7,bci_iv_2a,Random_Merges,Seq_CNN,4096,42,0.2762345679012346,0.025924949919165385,0.2594521604938272,0.2934027777777778,0.27623456790123463,0.03497942386831275,2026-03-12T03:01:18.656285
A7,bci_iv_2a,Random_Merges,Seq_CNN,4096,123,0.28279320987654316,0.02544249551511967,0.2663966049382716,0.3009307484567902,0.28279320987654316,0.04372427983539093,2026-03-12T03:01:42.296416
A7,bci_iv_2a,Random_Merges,Seq_CNN,4096,456,0.2849151234567901,0.029090376006250477,0.2673611111111111,0.3047839506172839,0.2849151234567901,0.04655349794238682,2026-03-12T03:02:08.451842
A7,bci_iv_2a,Random_Merges,Seq_CNN,4096,789,0.27719907407407407,0.02690816652213581,0.2621527777777778,0.29552951388888893,0.27719907407407407,0.03626543209876543,2026-03-12T03:02:28.245123
A7,bci_iv_2a,Random_Merges,Seq_CNN,4096,2024,0.2733410493827161,0.03689308605960847,0.251538387345679,0.30246913580246915,0.27334104938271603,0.031121399176954716,2026-03-12T03:02:49.488819
A7,bci_iv_2a,Raw_Bins,Hist_LogReg,64,42,0.27295524691358025,0.02012654238159336,0.2602141203703704,0.28607735339506174,0.27295524691358025,0.03060699588477367,2026-03-12T03:03:17.849831
A7,bci_iv_2a,Raw_Bins,Hist_LogReg,64,123,0.2727623456790123,0.01992026333861974,0.25945216049382713,0.2854938271604939,0.2727623456790123,0.030349794238683128,2026-03-12T03:03:17.851331
A7,bci_iv_2a,Raw_Bins,Hist_LogReg,64,456,0.2733410493827161,0.01976272912787917,0.26080246913580246,0.28645833333333326,0.2733410493827161,0.031121399176954705,2026-03-12T03:03:17.852331
A7,bci_iv_2a,Raw_Bins,Hist_LogReg,64,789,0.27237654320987653,0.01876007896051575,0.2606095679012346,0.2849151234567901,0.27237654320987653,0.029835390946502043,2026-03-12T03:03:17.853331
A7,bci_iv_2a,Raw_Bins,Hist_LogReg,64,2024,0.2729552469135803,0.019345983934229823,0.26176697530864196,0.28568672839506176,0.2729552469135803,0.030606995884773645,2026-03-12T03:03:17.854330
