ablation,dataset,classifier,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
K7,mental_arithmetic,BPE_Hist_LogReg,1024,42,0.6425,0.04643101336679585,0.6028154761904762,0.6847619047619048,0.6424999999999998,0.285,2026-03-17T14:41:25.014477
K7,mental_arithmetic,BPE_Hist_LogReg,1024,123,0.6198809523809523,0.054047619047619046,0.5723571428571428,0.6654761904761904,0.6198809523809523,0.2397619047619048,2026-03-17T14:41:25.015478
K7,mental_arithmetic,BPE_Hist_LogReg,1024,456,0.6170238095238096,0.057127478089221376,0.5702380952380952,0.6713095238095239,0.6170238095238095,0.234047619047619,2026-03-17T14:41:25.020476
K7,mental_arithmetic,BPE_Hist_LogReg,1024,789,0.6210714285714285,0.08315252493838127,0.5545238095238094,0.6876190476190477,0.6210714285714285,0.24214285714285716,2026-03-17T14:41:25.020978
K7,mental_arithmetic,BPE_Hist_LogReg,1024,2024,0.6433333333333333,0.03020714576600706,0.6161904761904762,0.667142857142857,0.6433333333333333,0.2866666666666667,2026-03-17T14:41:25.021978
K7,mental_arithmetic,PSD_LogReg,1024,42,0.6814285714285715,0.03181579635902871,0.6537976190476191,0.7095238095238094,0.6814285714285715,0.3628571428571429,2026-03-17T14:41:26.072820
K7,mental_arithmetic,PSD_LogReg,1024,123,0.666547619047619,0.07458919997449007,0.6114285714285714,0.7405952380952381,0.666547619047619,0.3330952380952381,2026-03-17T14:41:26.073827
K7,mental_arithmetic,PSD_LogReg,1024,456,0.6773809523809524,0.06999352091816459,0.6180952380952381,0.730952380952381,0.6773809523809524,0.3547619047619048,2026-03-17T14:41:26.074824
K7,mental_arithmetic,PSD_LogReg,1024,789,0.6911904761904761,0.06649467610353013,0.6259523809523809,0.7371428571428571,0.6911904761904761,0.3823809523809524,2026-03-17T14:41:26.075325
K7,mental_arithmetic,PSD_LogReg,1024,2024,0.6957142857142857,0.06680937107541174,0.6376190476190476,0.7504761904761905,0.6957142857142856,0.3914285714285714,2026-03-17T14:41:26.076324
K7,mental_arithmetic,BPE_PSD_Ensemble,1024,42,0.6823809523809524,0.032839885046793665,0.6533333333333333,0.7114285714285715,0.6823809523809524,0.36476190476190473,2026-03-17T14:41:37.059507
K7,mental_arithmetic,BPE_PSD_Ensemble,1024,123,0.666547619047619,0.07458919997449007,0.6123809523809525,0.7415476190476191,0.666547619047619,0.3330952380952381,2026-03-17T14:41:37.060506
K7,mental_arithmetic,BPE_PSD_Ensemble,1024,456,0.6773809523809524,0.06999352091816459,0.6180535714285714,0.7383333333333334,0.6773809523809524,0.3547619047619048,2026-03-17T14:41:37.061506
K7,mental_arithmetic,BPE_PSD_Ensemble,1024,789,0.6911904761904761,0.06649467610353013,0.6258809523809523,0.7467380952380952,0.6911904761904761,0.3823809523809524,2026-03-17T14:41:37.062006
K7,mental_arithmetic,BPE_PSD_Ensemble,1024,2024,0.6957142857142857,0.06680937107541174,0.6376190476190476,0.7542857142857142,0.6957142857142856,0.3914285714285714,2026-03-17T14:41:37.063006
