ablation,dataset,condition,alpha,vocab_size,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
A8,bci_iv_2a,Standard_BPE,0.0,1024,42,0.25983796296296297,0.004556717519682771,0.2534722222222222,0.2638888888888889,0.25983796296296297,0.013117283950617287,2026-03-21T23:23:36.983831
A8,bci_iv_2a,Standard_BPE,0.0,1024,123,0.2586805555555555,0.010221945447138713,0.24479166666666666,0.2690972222222222,0.2586805555555555,0.01157407407407407,2026-03-21T23:23:36.985335
A8,bci_iv_2a,Standard_BPE,0.0,1024,456,0.2586805555555556,0.006495932963149206,0.25,0.265625,0.2586805555555555,0.01157407407407407,2026-03-21T23:23:36.985834
A8,bci_iv_2a,Standard_BPE,0.0,1024,789,0.26215277777777773,0.007500857289823911,0.2517361111111111,0.2690972222222222,0.26215277777777773,0.016203703703703682,2026-03-21T23:23:36.986834
A8,bci_iv_2a,Standard_BPE,0.0,1024,2024,0.2604166666666667,0.006178864729184791,0.2517361111111111,0.265625,0.2604166666666667,0.013888888888888876,2026-03-21T23:23:36.987334
A8,bci_iv_2a,DiscBPE_alpha0.5,0.5,1024,42,0.27314814814814814,0.0158061345876709,0.2586805555555556,0.2951388888888889,0.27314814814814814,0.030864197530864224,2026-03-21T23:24:10.855339
A8,bci_iv_2a,DiscBPE_alpha0.5,0.5,1024,123,0.27488425925925924,0.020655750344415212,0.2569444444444444,0.3038194444444444,0.27488425925925924,0.03317901234567903,2026-03-21T23:24:10.856343
A8,bci_iv_2a,DiscBPE_alpha0.5,0.5,1024,456,0.2702546296296296,0.018876743553588066,0.2552083333333333,0.296875,0.27025462962962965,0.027006172839506164,2026-03-21T23:24:10.857342
A8,bci_iv_2a,DiscBPE_alpha0.5,0.5,1024,789,0.27199074074074076,0.015157176914014806,0.2604166666666667,0.2934027777777778,0.2719907407407407,0.02932098765432097,2026-03-21T23:24:10.857843
A8,bci_iv_2a,DiscBPE_alpha0.5,0.5,1024,2024,0.27546296296296297,0.020163485405305936,0.26037326388888893,0.3038194444444444,0.27546296296296297,0.03395061728395062,2026-03-21T23:24:10.858842
A8,bci_iv_2a,DiscBPE_alpha1.0,1.0,1024,42,0.265625,0.020977510370823915,0.24826388888888892,0.2951388888888889,0.265625,0.020833333333333332,2026-03-21T23:24:45.025147
A8,bci_iv_2a,DiscBPE_alpha1.0,1.0,1024,123,0.2615740740740741,0.02146670948031414,0.24305555555555555,0.2916666666666667,0.2615740740740741,0.015432098765432093,2026-03-21T23:24:45.026151
A8,bci_iv_2a,DiscBPE_alpha1.0,1.0,1024,456,0.26157407407407407,0.02278358759841381,0.24131944444444445,0.2934027777777778,0.26157407407407407,0.015432098765432056,2026-03-21T23:24:45.027151
A8,bci_iv_2a,DiscBPE_alpha1.0,1.0,1024,789,0.2615740740740741,0.02411188270370331,0.23958333333333334,0.2800925925925926,0.26157407407407407,0.015432098765432131,2026-03-21T23:24:45.027650
A8,bci_iv_2a,DiscBPE_alpha1.0,1.0,1024,2024,0.2621527777777778,0.022142507488089117,0.24479166666666666,0.2934027777777778,0.2621527777777778,0.016203703703703682,2026-03-21T23:24:45.028650
