dataset,n_bins,method1,method2,sqnr_diff_db,cohens_d,rank,significant_large_effect
bci_iv_2a,32,uniform,mu_law,2.9811559569293813,133.88934394353168,1,True
bci_iv_2a,32,uniform,adaptive,4.427586329914053,111.06769099064435,2,True
bci_iv_2a,64,uniform,adaptive,6.424792492957664,102.77318729843012,3,True
bci_iv_2a,64,mu_law,adaptive,3.704966718235916,65.84505297734698,4,True
bci_iv_2a,128,uniform,adaptive,7.266983857366906,62.69974307087777,5,True
bci_iv_2a,128,mu_law,adaptive,5.153850357842764,54.19179130488787,6,True
bci_iv_2a,64,uniform,mu_law,2.7198257747217482,48.25098835092065,7,True
bci_iv_2a,256,uniform,adaptive,6.545864975137047,38.55941161800916,8,True
bci_iv_2a,32,mu_law,adaptive,1.446430372984672,37.45440681397923,9,True
physionet_mi,32,uniform,adaptive,4.655674042339138,37.266028396825654,10,True
bci_iv_2a,256,mu_law,adaptive,5.251994471063529,35.858424463098466,11,True
mental_arithmetic,64,uniform,adaptive,6.457756506014267,31.016591530708514,12,True
mental_arithmetic,32,uniform,adaptive,4.443576176026561,30.61457149611773,13,True
physionet_mi,64,uniform,adaptive,4.962943630531502,29.051258322445594,14,True
mental_arithmetic,128,uniform,adaptive,7.641820809867109,27.244870084217563,15,True
mental_arithmetic,32,uniform,mu_law,2.9427259212357377,22.871207262775336,16,True
bci_iv_2a,512,uniform,adaptive,4.558784985379397,22.289398414947446,17,True
physionet_mi,64,mu_law,adaptive,3.20606854279551,21.620171007418946,18,True
bci_iv_2a,512,mu_law,adaptive,3.9275883627544275,21.040209909951074,19,True
mental_arithmetic,256,uniform,adaptive,7.654262126090604,20.542382315357564,20,True
mental_arithmetic,128,mu_law,adaptive,5.321724402225801,20.418788921511027,21,True
physionet_mi,32,mu_law,adaptive,2.2893793870201353,19.91300684443717,22,True
mental_arithmetic,64,mu_law,adaptive,3.724741030969927,19.79702836387439,23,True
physionet_mi,128,uniform,adaptive,4.069387515483445,19.704219134575975,24,True
physionet_mi,32,uniform,mu_law,2.3662946553190025,18.91767459250384,25,True
mental_arithmetic,256,mu_law,adaptive,5.934189068006074,17.706475993198943,26,True
bci_iv_2a,128,uniform,mu_law,2.1131334995241424,17.46344184951837,27,True
epfl_p300,64,uniform,adaptive,5.879667361092544,16.382003279851467,28,True
epfl_p300,32,uniform,adaptive,4.6469374314933685,16.119989524383588,29,True
physionet_mi,128,mu_law,adaptive,2.936376309550873,15.859966088098966,30,True
physionet_mi,1024,mu_law,adaptive,-4.120544493368566,-15.53120601617693,31,True
physionet_mi,1024,uniform,adaptive,-3.9633932145674287,-14.552296739510282,32,True
mental_arithmetic,512,uniform,adaptive,6.461512726485772,14.326213627469436,33,True
mental_arithmetic,64,uniform,mu_law,2.73301547504434,13.346751558666961,34,True
sleep_edf,32,uniform,adaptive,5.190558370204798,13.199955467046559,35,True
mental_arithmetic,512,mu_law,adaptive,5.341585167487807,12.596572915876918,36,True
epfl_p300,128,uniform,adaptive,5.946003804427946,12.527832828014906,37,True
mental_arithmetic,32,mu_law,adaptive,1.500850254790823,11.437521535903072,38,True
epfl_p300,64,mu_law,adaptive,3.7285253356073653,10.64576351092572,39,True
epfl_p300,128,mu_law,adaptive,4.403618176697588,9.950049888306475,40,True
physionet_mi,64,uniform,mu_law,1.7568750877359918,9.528277726010435,41,True
epfl_p300,32,uniform,mu_law,2.614021721196192,9.033249357254855,42,True
sleep_edf,64,uniform,adaptive,5.926865610283141,8.879060633211733,43,True
bci_iv_2a,1024,uniform,adaptive,1.9149886165375563,8.534555358123637,44,True
physionet_mi,256,uniform,adaptive,2.036125791134797,8.450305160390654,45,True
sleep_edf,32,uniform,mu_law,2.840808696848164,8.11482318026394,46,True
epfl_p300,256,uniform,adaptive,4.514966549020684,8.07292861446387,47,True
epfl_p300,32,mu_law,adaptive,2.0329157102971767,7.917381640785735,48,True
mental_arithmetic,1024,uniform,adaptive,4.091325263201313,7.768683767293601,49,True
mental_arithmetic,128,uniform,mu_law,2.3200964076413086,7.627891486352926,50,True
bci_iv_2a,1024,mu_law,adaptive,1.644132491628099,7.350380753182716,51,True
mental_arithmetic,1024,mu_law,adaptive,3.408874450831881,7.044091133299107,52,True
epfl_p300,256,mu_law,adaptive,3.566507087421268,6.922263847286737,53,True
sleep_edf,32,mu_law,adaptive,2.3497496733566337,6.5473782750557,54,True
bci_iv_2a,256,uniform,mu_law,1.2938705040735172,6.506673974344288,55,True
sleep_edf,128,uniform,adaptive,5.67683656261454,6.169835238539655,56,True
sleep_edf,64,mu_law,adaptive,3.5186767629086617,5.939445046271939,57,True
physionet_mi,256,mu_law,adaptive,1.4033023306726378,5.85463361638532,58,True
epfl_p300,64,uniform,mu_law,2.1511420254851785,5.216954174102821,59,True
ssvep_nakanishi,32,mu_law,adaptive,-5.068189422565929,-5.1721786831244305,60,True
physionet_mi,128,uniform,mu_law,1.133011205932572,4.881490141807743,61,True
sleep_edf,128,mu_law,adaptive,3.8678608511575163,4.597146723399199,62,True
ssvep_nakanishi,64,mu_law,adaptive,-4.312885161005674,-4.399891281815388,63,True
physionet_mi,512,mu_law,adaptive,-1.100348965878485,-4.225682011876481,64,True
