dataset,method,n_bins,sqnr_db_mean,sqnr_db_ci_low,sqnr_db_ci_high,corr_mean,corr_ci_low,corr_ci_high,mse_mean,rmse_mean,spectral_distortion_pct,timestamp
bci_iv_2a,uniform,32,22.424548551847526,22.37542261247255,22.47092193386021,0.9971315937886212,0.997091939115735,0.9971631685516095,0.21596320468465938,0.464718414402377,"{'delta': {'mean': 20.714841051827047, 'ci_low': 18.24217900654485, 'ci_high': 23.437910668772812}, 'theta': {'mean': 0.35106285180239066, 'ci_low': 0.2693499219877906, 'ci_high': 0.43499965384834394}, 'alpha': {'mean': 0.44286952264057916, 'ci_low': 0.29816290782071025, 'ci_high': 0.6292631840296574}, 'beta': {'mean': 0.2843568902442194, 'ci_low': 0.18513418192237205, 'ci_high': 0.40881059633084177}, 'gamma': {'mean': 4.859396515230767, 'ci_low': 3.181725274632142, 'ci_high': 7.254582085487524}}",2026-03-07T16:38:30.354715
bci_iv_2a,uniform,64,27.598223388652595,27.46321333518752,27.70862340463717,0.9991094440961864,0.9990750402056043,0.9991395504475364,0.06443181852229331,0.2538342343386591,"{'delta': {'mean': 7.1762633120878645, 'ci_low': 5.992067712064729, 'ci_high': 8.369191766722677}, 'theta': {'mean': 0.24319800273895747, 'ci_low': 0.16429657152146143, 'ci_high': 0.3268917042226339}, 'alpha': {'mean': 0.42426434473187064, 'ci_low': 0.29663364891829636, 'ci_high': 0.6013411893309331}, 'beta': {'mean': 0.3461055632134628, 'ci_low': 0.2593231059821543, 'ci_high': 0.45923949198875275}, 'gamma': {'mean': 1.3138920574271105, 'ci_low': 0.805318372268288, 'ci_high': 1.9691009365469316}}",2026-03-07T16:38:30.357218
bci_iv_2a,uniform,128,31.54708966508582,31.264559067989957,31.805322449462583,0.999611356422504,0.9995732821295179,0.9996418301547073,0.026163827230402118,0.16175236390978068,"{'delta': {'mean': 3.6957032396635956, 'ci_low': 2.8111710047354403, 'ci_high': 4.595388922481316}, 'theta': {'mean': 0.2846130390484444, 'ci_low': 0.2084483486769053, 'ci_high': 0.363494973527198}, 'alpha': {'mean': 0.41010103565439704, 'ci_low': 0.28411423032302285, 'ci_high': 0.5716877538861344}, 'beta': {'mean': 0.35670286615936936, 'ci_low': 0.2642355581482807, 'ci_high': 0.4615720801394928}, 'gamma': {'mean': 0.4823094740384985, 'ci_low': 0.28545539473743836, 'ci_high': 0.6899789171731064}}",2026-03-07T16:38:30.358219
bci_iv_2a,uniform,256,33.86935766076369,33.43632933827047,34.285343387564616,0.9997398564807956,0.9997091096316653,0.9997683218089034,0.01641027763743609,0.12810260589635206,"{'delta': {'mean': 2.8072086076579774, 'ci_low': 2.025431009615825, 'ci_high': 3.6157769847086856}, 'theta': {'mean': 0.2978371502176456, 'ci_low': 0.23573083913534448, 'ci_high': 0.36896931380630166}, 'alpha': {'mean': 0.4010226345314363, 'ci_low': 0.2696005296776374, 'ci_high': 0.5481743674722843}, 'beta': {'mean': 0.355790603519735, 'ci_low': 0.2751623862349659, 'ci_high': 0.46167937717455537}, 'gamma': {'mean': 0.31549819039368626, 'ci_low': 0.17404456282037797, 'ci_high': 0.4611810960690497}}",2026-03-07T16:38:30.358718
bci_iv_2a,uniform,512,34.88711929910897,34.38326607366602,35.38767701001989,0.9997734556753956,0.9997401085292008,0.9998024159492279,0.013876903661539017,0.11780027020995758,"{'delta': {'mean': 2.5730046435367635, 'ci_low': 1.825999314731525, 'ci_high': 3.3407860629413744}, 'theta': {'mean': 0.2997990708028759, 'ci_low': 0.2365794778122575, 'ci_high': 0.3672172612161355}, 'alpha': {'mean': 0.3961039257750574, 'ci_low': 0.2678106325520313, 'ci_high': 0.5414764498520533}, 'beta': {'mean': 0.35410544817759787, 'ci_low': 0.2693914694464279, 'ci_high': 0.4554426691515606}, 'gamma': {'mean': 0.28913126352327595, 'ci_low': 0.1654977737705325, 'ci_high': 0.43911576446039574}}",2026-03-07T16:38:30.359218
bci_iv_2a,uniform,1024,35.23551685170704,34.684076841279236,35.74432862712572,0.99978259102262,0.9997451318655612,0.9998101966815038,0.013196060976208386,0.11487410925099,"{'delta': {'mean': 2.518156842447746, 'ci_low': 1.7546587627195054, 'ci_high': 3.2384722455389934}, 'theta': {'mean': 0.3005991589162622, 'ci_low': 0.23639262396245175, 'ci_high': 0.37191287699395786}, 'alpha': {'mean': 0.3938059870266179, 'ci_low': 0.25418190314725697, 'ci_high': 0.541950264969868}, 'beta': {'mean': 0.3523256763205939, 'ci_low': 0.26500989927777274, 'ci_high': 0.456121260853738}, 'gamma': {'mean': 0.2844642981142506, 'ci_low': 0.16411743861389946, 'ci_high': 0.42803102768179574}}",2026-03-07T16:38:30.360219
bci_iv_2a,mu_law,32,19.443392594918148,19.403349644604496,19.48155564682968,0.9943538816798349,0.9942887539270763,0.9944104762186321,0.4297271177325881,0.655535748630529,"{'delta': {'mean': 43.016937999971, 'ci_low': 37.92530953813085, 'ci_high': 47.89355054242416}, 'theta': {'mean': 1.3355675419370687, 'ci_low': 1.0180750814763844, 'ci_high': 1.681742845179228}, 'alpha': {'mean': 0.4784352914024118, 'ci_low': 0.39209792973890123, 'ci_high': 0.5808283790781116}, 'beta': {'mean': 0.6444520921055311, 'ci_low': 0.5447451188975254, 'ci_high': 0.7581841583004264}, 'gamma': {'mean': 10.86986567918462, 'ci_low': 7.4586323004602795, 'ci_high': 16.045842156628563}}",2026-03-07T16:38:30.360718
bci_iv_2a,mu_law,64,24.878397613930847,24.775423189086663,24.968875542757203,0.998352273136075,0.9983005423759566,0.9983937174957408,0.12103124461545216,0.3478954506966887,"{'delta': {'mean': 13.042918412284017, 'ci_low': 11.233643658646331, 'ci_high': 15.010584901986904}, 'theta': {'mean': 0.3124584417471363, 'ci_low': 0.24121136534643173, 'ci_high': 0.3933041331312477}, 'alpha': {'mean': 0.40437352358889095, 'ci_low': 0.2384093585079412, 'ci_high': 0.6003845385510674}, 'beta': {'mean': 0.2976401509911496, 'ci_low': 0.18663015973925587, 'ci_high': 0.4398252215949342}, 'gamma': {'mean': 2.7901013353640085, 'ci_low': 1.8896698936253704, 'ci_high': 4.099880500292125}}",2026-03-07T16:38:30.361718
bci_iv_2a,mu_law,128,29.43395616556168,29.225591989467564,29.622527979323483,0.9993945611496113,0.9993542021256159,0.9994277640328854,0.04203904327867053,0.20503424903822906,"{'delta': {'mean': 5.428191107837211, 'ci_low': 4.392931811126645, 'ci_high': 6.463586502227116}, 'theta': {'mean': 0.2847132383548584, 'ci_low': 0.19846509656531117, 'ci_high': 0.3823735878604342}, 'alpha': {'mean': 0.44670043124016917, 'ci_low': 0.29418809159838605, 'ci_high': 0.6270249410403506}, 'beta': {'mean': 0.37491682382547226, 'ci_low': 0.2742773330039181, 'ci_high': 0.5094269907848066}, 'gamma': {'mean': 0.8274710474305608, 'ci_low': 0.5121177099484706, 'ci_high': 1.1621737265045593}}",2026-03-07T16:38:30.362219
bci_iv_2a,mu_law,256,32.57548715669017,32.21350248339275,32.9166562596872,0.999672189165564,0.9996361631942972,0.9997022440932445,0.021245069463599595,0.1457568847897059,"{'delta': {'mean': 3.401790127685595, 'ci_low': 2.5845437503000004, 'ci_high': 4.259300032219869}, 'theta': {'mean': 0.31394045307791774, 'ci_low': 0.2431693765041644, 'ci_high': 0.3998723911600587}, 'alpha': {'mean': 0.4327341280455977, 'ci_low': 0.2912602085851755, 'ci_high': 0.5950628771959446}, 'beta': {'mean': 0.38064908069871467, 'ci_low': 0.28727335695162776, 'ci_high': 0.4870905025319338}, 'gamma': {'mean': 0.39184498360051323, 'ci_low': 0.22255004992386251, 'ci_high': 0.5653739197754598}}",2026-03-07T16:38:30.363222
bci_iv_2a,mu_law,512,34.255922676484,33.79874106606677,34.68989773534615,0.9997498324970161,0.9997163631372065,0.9997809767729038,0.015516141986911385,0.12456380688992845,"{'delta': {'mean': 2.8138426655769226, 'ci_low': 2.0531030832750035, 'ci_high': 3.6015334245207793}, 'theta': {'mean': 0.3138915962875734, 'ci_low': 0.24884950699800812, 'ci_high': 0.38353423598550923}, 'alpha': {'mean': 0.4155381550954529, 'ci_low': 0.29002722654321644, 'ci_high': 0.5790102588437153}, 'beta': {'mean': 0.3705213113930743, 'ci_low': 0.28220482157729965, 'ci_high': 0.470082120868888}, 'gamma': {'mean': 0.3131181631034355, 'ci_low': 0.1750381696620873, 'ci_high': 0.4566086231227866}}",2026-03-07T16:38:30.363720
bci_iv_2a,mu_law,1024,34.96466072679758,34.434555697195975,35.49024754229337,0.999773335745009,0.9997391557555024,0.9998009513264846,0.013821492307224416,0.1175648429898344,"{'delta': {'mean': 2.608758567706864, 'ci_low': 1.8401961537284615, 'ci_high': 3.4192780892961108}, 'theta': {'mean': 0.30884493007646563, 'ci_low': 0.24738230089096588, 'ci_high': 0.381754059467624}, 'alpha': {'mean': 0.40497969103298165, 'ci_low': 0.2704936154986819, 'ci_high': 0.5445249152872774}, 'beta': {'mean': 0.3619954918061216, 'ci_low': 0.2752526156650667, 'ci_high': 0.45953358369826774}, 'gamma': {'mean': 0.2930017481996782, 'ci_low': 0.16663456959609438, 'ci_high': 0.4300889269758148}}",2026-03-07T16:38:30.364719
