experiment,source,target,vocab_size,n_bins,method,classifier,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
exp10,sleep_edf,sleep_edf,512,64,adaptive,BPE_Hist_LogReg,42,0.7797225576046652,0.08218461106913356,0.6641843971631206,0.8484308131241084,0.5558179791418695,0.5847873696897397,2026-03-22T01:30:45.492947
exp10,sleep_edf,sleep_edf,512,64,adaptive,BPE_Hist_LogReg,123,0.7113657031605877,0.04250640696420469,0.6570921985815603,0.7608850820842256,0.5337334665198744,0.4649796457640131,2026-03-22T01:33:22.630400
exp10,sleep_edf,sleep_edf,512,64,adaptive,BPE_Hist_LogReg,456,0.693880705138436,0.031417230661982834,0.6542553191489362,0.7310984308131241,0.5215122485566489,0.4292572284083295,2026-03-22T01:35:34.458945
exp10,sleep_edf,sleep_edf,512,64,adaptive,BPE_Hist_LogReg,789,0.6875854342406651,0.02496155719270141,0.6535460992907801,0.7127052105638829,0.515496424531606,0.4244229946264359,2026-03-22T01:37:10.093381
exp10,sleep_edf,sleep_edf,512,64,adaptive,BPE_Hist_LogReg,2024,0.7583270179900392,0.07436814700369576,0.6574468085106383,0.834522111269615,0.5466382714929422,0.5461775601456849,2026-03-22T01:38:41.192070
exp10,sleep_edf,bci_iv_2a,512,64,adaptive,BPE_Hist_LogReg,42,0.2488425925925926,0.005901642955547193,0.24305555555555555,0.2569444444444444,0.2488425925925926,-0.0015432098765431797,2026-03-22T01:40:03.214919
exp10,sleep_edf,bci_iv_2a,512,64,adaptive,BPE_Hist_LogReg,123,0.2476851851851852,0.002950821477773601,0.24479166666666666,0.2517361111111111,0.2476851851851852,-0.0030864197530863966,2026-03-22T01:40:04.502646
exp10,sleep_edf,bci_iv_2a,512,64,adaptive,BPE_Hist_LogReg,456,0.2488425925925926,0.004978197492501514,0.24305555555555555,0.2552083333333333,0.24884259259259264,-0.0015432098765432538,2026-03-22T01:40:05.884101
exp10,sleep_edf,bci_iv_2a,512,64,adaptive,BPE_Hist_LogReg,789,0.2476851851851852,0.0016368212527466321,0.2465277777777778,0.25,0.2476851851851852,-0.0030864197530863593,2026-03-22T01:40:07.135569
exp10,sleep_edf,bci_iv_2a,512,64,adaptive,BPE_Hist_LogReg,2024,0.24710648148148148,0.005366677370078526,0.23958333333333334,0.2517361111111111,0.24710648148148148,-0.003858024691358023,2026-03-22T01:40:08.335929
exp10,sleep_edf,mental_arithmetic,512,64,adaptive,BPE_Hist_LogReg,42,0.6777777777777777,0.14989708403591157,0.5,0.8666666666666667,0.6777777777777777,0.3555555555555556,2026-03-22T01:40:12.996590
exp10,sleep_edf,mental_arithmetic,512,64,adaptive,BPE_Hist_LogReg,123,0.6666666666666666,0.15153535218873174,0.5,0.8666666666666667,0.6666666666666666,0.3333333333333333,2026-03-22T01:40:13.009563
