experiment,dataset,tokenizer,transform,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S1,sleep_edf,BPE,raw,256,64,42,0.7139757061285336,0.05254343797878268,0.6531914893617021,0.7813837375178316,0.5578937345223856,0.470584225835397,2026-03-22T02:18:15.078427
S1,sleep_edf,BPE,raw,256,64,123,0.7563056669049818,0.07367009959147884,0.6570921985815603,0.8334522111269614,0.5963976373099896,0.543428096991751,2026-03-22T02:18:15.079431
S1,sleep_edf,BPE,raw,256,64,456,0.6916274619268442,0.02790579429348319,0.6688053540534797,0.7219842969307638,0.5223610068538288,0.4373472118045461,2026-03-22T02:18:15.112539
S1,sleep_edf,BPE,raw,256,64,789,0.6938787033509959,0.026049346921265225,0.6744704959982991,0.7139800285306704,0.5121763800557414,0.39624038131399325,2026-03-22T02:18:15.113042
S1,sleep_edf,BPE,raw,256,64,2024,0.6711380355132546,0.0745055746722483,0.5860099928622412,0.7674750356633381,0.5042999185707785,0.422761142082053,2026-03-22T02:18:15.113541
S1,sleep_edf,BPE,log,256,64,42,0.8191026935804823,0.07431362808513174,0.7145390070921985,0.880527817403709,0.634755049518447,0.662988296138372,2026-03-22T02:25:14.508656
S1,sleep_edf,BPE,log,256,64,123,0.8615108851055538,0.007093911717381308,0.8559201141226819,0.8715203426124197,0.6113574591148798,0.7212649024350938,2026-03-22T02:25:14.509656
S1,sleep_edf,BPE,log,256,64,456,0.7785762176343306,0.09492987809280497,0.6443262411347518,0.8461812990720915,0.6214405247311895,0.6081266494531431,2026-03-22T02:25:14.510656
S1,sleep_edf,BPE,log,256,64,789,0.7829432826675299,0.09314898877768413,0.6567375886524822,0.8787446504992867,0.6178597269023937,0.6137782837842428,2026-03-22T02:25:14.511156
S1,sleep_edf,BPE,log,256,64,2024,0.80029731237433,0.09761602734245406,0.6631205673758865,0.8823109843081313,0.637423991882023,0.6426443763427546,2026-03-22T02:25:14.512156
S1,sleep_edf,BPE,binary,256,64,42,0.8018537429103091,0.059637124305956093,0.7177304964539007,0.8491440798858774,0.6197368161310991,0.6334871147698238,2026-03-22T02:31:50.132421
S1,sleep_edf,BPE,binary,256,64,123,0.8210184770974539,0.03793403678009874,0.7695035460992908,0.8597430406852249,0.5870405562294305,0.652402331316635,2026-03-22T02:31:50.133421
S1,sleep_edf,BPE,binary,256,64,456,0.7876371185581216,0.06933579826596642,0.6904255319148936,0.8473609129814551,0.5718615240469725,0.6120050604373932,2026-03-22T02:31:50.133921
S1,sleep_edf,BPE,binary,256,64,789,0.7981680308609764,0.056481794925476114,0.7184397163120567,0.8422555317630264,0.5967937950552824,0.6199510420328794,2026-03-22T02:31:50.134921
S1,sleep_edf,BPE,binary,256,64,2024,0.7647320965334408,0.10924913994948998,0.6102836879432624,0.8454675231977159,0.5692256967738317,0.59141519622478,2026-03-22T02:31:50.135421
S1,sleep_edf,Raw,raw,256,64,42,0.5171234280543476,0.09696334161689354,0.3908701854493581,0.6265957446808511,0.34547075153657253,0.20838951370183798,2026-03-22T02:33:44.271381
S1,sleep_edf,Raw,raw,256,64,123,0.5883388631267078,0.027176501084647493,0.5660242683797287,0.6265957446808511,0.37060608558973085,0.251900891493632,2026-03-22T02:33:44.272382
S1,sleep_edf,Raw,raw,256,64,456,0.5884532480918513,0.03142942114001106,0.5499643112062812,0.6269503546099291,0.3545150465718277,0.24515638496864042,2026-03-22T02:33:44.273381
S1,sleep_edf,Raw,raw,256,64,789,0.584412162444531,0.03166037939504222,0.550321199143469,0.6265957446808511,0.3391198740847317,0.24991681716600125,2026-03-22T02:33:44.274382
S1,sleep_edf,Raw,raw,256,64,2024,0.6096307921876649,0.015481332209256947,0.5888017118402282,0.625886524822695,0.37798396516388316,0.2510106085036345,2026-03-22T02:33:44.274881
S1,sleep_edf,Raw,log,256,64,42,0.5086939838293271,0.09804147282625561,0.43152639087018546,0.6470378301213419,0.3480395644734135,0.18592164527715774,2026-03-22T02:35:10.659097
S1,sleep_edf,Raw,log,256,64,123,0.5719503467024355,0.04271858286685619,0.5246077032810271,0.6281227694503926,0.3756212294689676,0.2319735681231744,2026-03-22T02:35:10.660100
S1,sleep_edf,Raw,log,256,64,456,0.5502719152377916,0.06721692283971135,0.4595744680851064,0.6202712348322627,0.386066210466324,0.24316859701517235,2026-03-22T02:35:10.660600
S1,sleep_edf,Raw,log,256,64,789,0.4795175733431412,0.022852853438741178,0.4531914893617021,0.5089158345221113,0.37552656268609413,0.2155832103859617,2026-03-22T02:35:10.661601
S1,sleep_edf,Raw,log,256,64,2024,0.6087402462780601,0.031859938411587733,0.5756602426837973,0.6517730496453901,0.36729189503622334,0.25623690503327073,2026-03-22T02:35:10.662600
S1,sleep_edf,Raw,binary,256,64,42,0.03884564536959088,0.016178727661785925,0.02198581560283688,0.05174068994261622,0.2011695906432749,0.00012133064760744272,2026-03-22T02:36:30.355187
S1,sleep_edf,Raw,binary,256,64,123,0.04431105405294761,0.016872299743875586,0.02198581560283688,0.06276747503566334,0.21102292260276875,0.0029387870066235333,2026-03-22T02:36:30.356187
S1,sleep_edf,Raw,binary,256,64,456,0.08289750875025557,0.06275522607344876,0.037089871611982884,0.17163120567375886,0.20981698231833878,0.0015238314753663884,2026-03-22T02:36:30.357187
S1,sleep_edf,Raw,binary,256,64,789,0.058236264515585744,0.015439206902992638,0.045904647281695056,0.07446808510638298,0.20829201127271949,0.0015911777445946444,2026-03-22T02:36:30.358186
S1,sleep_edf,Raw,binary,256,64,2024,0.5324541117490328,0.23446592856782592,0.2012847965738758,0.7124113475177305,0.20997327244564554,0.008219368139414337,2026-03-22T02:36:30.359186
