experiment,dataset,classifier,transform,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,42,0.8335901636729148,0.036824873760548354,0.7833333333333333,0.8705420827389444,0.6143575544481175,0.6771958176918322,2026-03-22T02:52:32.215816
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,123,0.7980726087155992,0.10955279874326328,0.6450354609929078,0.895506419400856,0.6243740470981387,0.6411490956779141,2026-03-22T02:52:32.216816
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,456,0.755688400366096,0.1041812846325368,0.6180851063829788,0.8700927908636689,0.5995315490733191,0.5835804944914663,2026-03-22T02:52:32.221815
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,789,0.8062006654990007,0.08512516106864809,0.6858156028368795,0.8665239114917916,0.625211504392627,0.6451879690390158,2026-03-22T02:52:32.222815
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,2024,0.7618124610271592,0.1255074412266298,0.5858156028368794,0.8697359029264811,0.604851839647805,0.5875885581518143,2026-03-22T02:52:32.223816
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,42,0.8098726289804473,0.08384607752685659,0.6918439716312057,0.8787446504992867,0.6346041224613735,0.6533359470073514,2026-03-22T02:52:42.974520
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,123,0.7990051210301123,0.062322705412680805,0.7134751773049647,0.8601997146932953,0.6117869199767719,0.6301875838907655,2026-03-22T02:52:42.976020
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,456,0.7878656671508003,0.10590303563940957,0.6382978723404256,0.8693790149892934,0.6225299969533568,0.6233647803666301,2026-03-22T02:52:42.977020
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,789,0.8075820414564835,0.07538420518145095,0.7053191489361702,0.8848074179743225,0.6414251063647675,0.6464489773584046,2026-03-22T02:52:42.978023
S2,sleep_edf,BPE_Hist_log_LogReg,log,256,64,2024,0.8214526891295382,0.06482264592578194,0.7297872340425532,0.8683083511777302,0.6119727692000206,0.6606408386903503,2026-03-22T02:52:42.978527
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,42,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:33.928259
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,123,0.8802264501821652,0.013283285573812845,0.8703573597148697,0.8900955406494605,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:33.929757
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,456,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:33.930258
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,789,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:33.930759
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,2024,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:33.931762
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,42,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:44.706090
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,123,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:44.707091
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,456,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:44.708089
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,789,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:44.708589
S2,sleep_edf,BPE_Hist_log_RF,log,256,64,2024,0.8802264501821652,0.013283285573812845,0.8615274803711634,0.8911347517730497,0.5503579118640318,0.7497352120775046,2026-03-22T02:54:44.709590
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,42,0.7966796156027951,0.07660086003324304,0.6886524822695036,0.8577032810271041,0.5969315726046899,0.6255807914068452,2026-03-22T03:00:09.877458
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,123,0.7823379582494588,0.08382153238610829,0.6645390070921986,0.8527104136947218,0.5884701548576501,0.6046574799714369,2026-03-22T03:00:09.878458
S2,sleep_edf,BPE_Hist_binary_LogReg,binary,256,64,456,0.7775074032374985,0.09527861891253339,0.6429078014184397,0.8502139800285308,0.5963759768387549,0.6030216325226606,2026-03-22T03:00:09.879458
