experiment,dataset,classifier,transform,n_windows,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,42,0.6582692243213043,0.03745606667098015,0.6205673758865248,0.7093437945791726,0.5398855102703805,0.4071502165908674,2026-03-22T03:27:33.428737
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,123,0.7827810234248055,0.1168058132184088,0.6202127659574468,0.8894436519258203,0.4989532761027065,0.6133272806653588,2026-03-22T03:27:33.430237
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,456,0.6879819795223933,0.1303240109106779,0.5102836879432624,0.8191868758915835,0.5060572635212678,0.47086575934663877,2026-03-22T03:27:33.434241
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,789,0.7067112043429891,0.06266673800778091,0.6553191489361702,0.7949358059914408,0.550848769141407,0.4782306158932233,2026-03-22T03:27:33.435241
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,2024,0.7484621156058099,0.10580498261175858,0.6021276595744681,0.8486795146324054,0.5874415671946879,0.5492045351511149,2026-03-22T03:27:33.435741
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,42,0.7324278812565398,0.06311025712857823,0.6517730496453901,0.8058529621698787,0.5874388059792205,0.5107740399926911,2026-03-22T03:27:58.029545
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,123,0.6380206320014131,0.04920644819554444,0.5861702127659575,0.7041399000713776,0.5005288509084354,0.3821702180064605,2026-03-22T03:27:58.031043
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,456,0.4104663857101667,0.25601191671952905,0.05353319057815845,0.6414893617021277,0.3455739299957063,0.22269685059346803,2026-03-22T03:27:58.032043
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,789,0.6306048956080487,0.19287092036677544,0.3776595744680851,0.8454675231977159,0.5694911171637809,0.43065228228265884,2026-03-22T03:27:58.033044
S3,sleep_edf,Windowed_raw_LogReg,raw,5,256,64,2024,0.7696244769526924,0.08292874384071813,0.7038240162801647,0.854493580599144,0.49967632420480596,0.5716628251910967,2026-03-22T03:27:58.034044
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,42,0.8533968314463417,0.03241163108148547,0.8095744680851064,0.8869472182596291,0.6095571509793397,0.7083309253132102,2026-03-22T03:35:31.210572
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,123,0.8557694200407996,0.03127624373241198,0.8127659574468084,0.8862339514978602,0.6155906112312894,0.7124723964493734,2026-03-22T03:35:31.211575
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,456,0.8525846798513256,0.03771260180964123,0.8000000000000002,0.8865905848787446,0.6074114732127561,0.70717641501975,2026-03-22T03:35:31.212079
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,789,0.8544494452301027,0.02688554870007771,0.8184397163120568,0.8830242510699001,0.6090833093536102,0.708787241780218,2026-03-22T03:35:31.213081
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,2024,0.8511535859786951,0.0358000845129877,0.8017730496453902,0.8855206847360911,0.6085011685915137,0.7045859506822182,2026-03-22T03:35:31.213585
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,42,0.8535249017916366,0.03578779555132263,0.8049645390070922,0.8901569186875892,0.613448011534907,0.7088383733190762,2026-03-22T03:35:41.610940
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,123,0.8524389794058607,0.02871296574094786,0.8131205673758867,0.8808844507845933,0.6104989506045625,0.7060431339414358,2026-03-22T03:35:41.611940
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,456,0.8499573843862501,0.03240157176721362,0.8053191489361703,0.8812410841654779,0.6023044960754587,0.7012649532993334,2026-03-22T03:35:41.612940
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,789,0.8526819611603985,0.03136362245739953,0.8102836879432624,0.8851640513552068,0.6027495424440205,0.7057395497902995,2026-03-22T03:35:41.613440
S3,sleep_edf,Windowed_log_LogReg,log,5,256,64,2024,0.8531639669508361,0.033976498604764344,0.8070921985815603,0.8880171184022826,0.6065295124786771,0.7075837079401887,2026-03-22T03:35:41.614440
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,42,0.8538622296946955,0.027838117491547885,0.8152482269503546,0.8798145506419401,0.5955235788679066,0.7071449161159385,2026-03-22T03:44:02.912157
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,123,0.852439569037695,0.02906755376103248,0.8127659574468084,0.8815977175463624,0.5943140518451764,0.7051269566065524,2026-03-22T03:44:02.913158
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,456,0.853382323542419,0.02785259882421659,0.8166666666666668,0.8840941512125534,0.5933195814229175,0.7062264314813061,2026-03-22T03:44:02.914158
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,789,0.8556355295635156,0.026014959182614136,0.8202127659574469,0.8819543509272468,0.595860786643518,0.7103937873871694,2026-03-22T03:44:02.914658
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,2024,0.8506714104840555,0.03330645647834071,0.8049645390070922,0.8833808844507846,0.6005908434375314,0.7028415745082439,2026-03-22T03:44:02.915659
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,42,0.8533930347661589,0.03144207095614839,0.8113475177304964,0.8869472182596291,0.5945118562996946,0.7069458501953395,2026-03-22T03:44:05.357752
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,123,0.8516197348973389,0.03313088478370787,0.8063829787234043,0.8848074179743225,0.5988286742628349,0.7042910953664724,2026-03-22T03:44:05.358752
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,456,0.8520899350524687,0.03129024229337264,0.8092198581560283,0.8830242510699001,0.5944443608415931,0.7045664909955432,2026-03-22T03:44:05.359252
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,789,0.8532641245655995,0.026974341130704058,0.8166666666666668,0.8808844507845933,0.5958264429205125,0.7059712649209717,2026-03-22T03:44:05.360252
S3,sleep_edf,Windowed_binary_LogReg,binary,5,256,64,2024,0.8543398448402423,0.02991661849149168,0.8138297872340425,0.8851640513552068,0.5970216613428456,0.708537074384823,2026-03-22T03:44:05.360752
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,42,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:50.268109
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,123,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:50.269100
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,456,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:50.270101
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,789,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:50.270601
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,2024,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:50.271601
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,42,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:52.676704
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,123,0.2853009259259259,0.024111882703703312,0.2552083333333333,0.3142361111111111,0.285300925925926,0.04706790123456791,2026-03-22T03:45:52.677704
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,456,0.2853009259259259,0.024111882703703312,0.2552083333333333,0.3142361111111111,0.285300925925926,0.04706790123456791,2026-03-22T03:45:52.678704
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,789,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:52.679204
S3,bci_iv_2a,Windowed_raw_LogReg,raw,5,256,64,2024,0.2858796296296296,0.02415351476239492,0.2552083333333333,0.3142361111111111,0.2858796296296297,0.0478395061728395,2026-03-22T03:45:52.680203
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,42,0.31828703703703703,0.03195995664695388,0.2777777777777778,0.35590277777777785,0.31828703703703703,0.09104938271604941,2026-03-22T03:47:49.024876
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,123,0.3177083333333333,0.03128213368458236,0.28125,0.3576388888888889,0.3177083333333333,0.09027777777777775,2026-03-22T03:47:49.025876
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,456,0.3194444444444444,0.03128213368458236,0.2829861111111111,0.359375,0.3194444444444445,0.0925925925925926,2026-03-22T03:47:49.026880
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,789,0.31886574074074076,0.030314353828029623,0.2864583333333333,0.359375,0.31886574074074076,0.091820987654321,2026-03-22T03:47:49.027883
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,2024,0.3194444444444444,0.027669058073800757,0.2864583333333333,0.3541666666666667,0.3194444444444445,0.0925925925925926,2026-03-22T03:47:49.028383
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,42,0.32175925925925924,0.029062221133078065,0.2864583333333333,0.3576388888888889,0.3217592592592593,0.09567901234567903,2026-03-22T03:47:52.310469
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,123,0.31712962962962965,0.02892360879536992,0.2864583333333333,0.35590277777777785,0.31712962962962965,0.0895061728395062,2026-03-22T03:47:52.311468
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,456,0.3159722222222222,0.027044725568397963,0.2847222222222222,0.3506944444444444,0.31597222222222227,0.08796296296296298,2026-03-22T03:47:52.311968
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,789,0.3177083333333333,0.03191801442855944,0.2777777777777778,0.35590277777777785,0.3177083333333333,0.09027777777777779,2026-03-22T03:47:52.312968
S3,bci_iv_2a,Windowed_log_LogReg,log,5,256,64,2024,0.31539351851851855,0.02940589355535302,0.2829861111111111,0.3541666666666667,0.31539351851851855,0.08719135802469136,2026-03-22T03:47:52.313468
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,42,0.3148148148148148,0.006391991329390777,0.3072916666666667,0.3229166666666667,0.3148148148148148,0.08641975308641973,2026-03-22T03:49:46.970239
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,123,0.3142361111111111,0.00736569563735987,0.3090277777777778,0.3246527777777778,0.3142361111111111,0.08564814814814818,2026-03-22T03:49:46.970740
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,456,0.31365740740740744,0.009113435039365516,0.3055555555555556,0.3263888888888889,0.31365740740740744,0.08487654320987655,2026-03-22T03:49:46.971739
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,789,0.30960648148148145,0.006547285010986554,0.3003472222222222,0.3142361111111111,0.30960648148148145,0.07947530864197531,2026-03-22T03:49:46.972739
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,2024,0.3113425925925926,0.005901642955547183,0.3055555555555556,0.3194444444444444,0.3113425925925926,0.08179012345679011,2026-03-22T03:49:46.973239
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,42,0.3107638888888889,0.004252586358998558,0.3055555555555556,0.3159722222222222,0.3107638888888889,0.08101851851851849,2026-03-22T03:49:50.694926
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,123,0.31192129629629634,0.0029508214777735917,0.3090277777777778,0.3159722222222222,0.31192129629629634,0.0825617283950617,2026-03-22T03:49:50.695926
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,456,0.3072916666666667,0.002835057572665728,0.3038194444444444,0.3107638888888889,0.3072916666666667,0.07638888888888888,2026-03-22T03:49:50.696926
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,789,0.31134259259259256,0.0008184106263733161,0.3107638888888889,0.3125,0.31134259259259256,0.08179012345679011,2026-03-22T03:49:50.697426
S3,bci_iv_2a,Windowed_binary_LogReg,binary,5,256,64,2024,0.31365740740740744,0.006391991329390775,0.3055555555555556,0.3211805555555556,0.31365740740740744,0.08487654320987655,2026-03-22T03:49:50.698428
