experiment,dataset,vocab_type,classifier,vocab_size,n_bins,seed,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,kappa_mean,timestamp
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,42,0.7655054772175682,0.13250543875754547,0.5787234042553191,0.8719686162624821,0.6200718659081109,0.6028212031652099,2026-03-22T03:55:29.962432
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,123,0.841305699509853,0.034976986735763514,0.7918439716312057,0.8665239114917916,0.6400681351260976,0.6896419075375083,2026-03-22T03:55:29.963431
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,456,0.7528351141478486,0.10926761830629038,0.6070921985815603,0.8701854493580599,0.6070260370839086,0.5787468666095653,2026-03-22T03:55:29.968440
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,789,0.8007514097671095,0.08951793172029131,0.674468085106383,0.8716119828815977,0.6274827045982148,0.6377783691731943,2026-03-22T03:55:29.968939
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,2024,0.7803756656710519,0.10171791564665966,0.6365248226950354,0.8523537803138374,0.6163842150303831,0.6098897626845281,2026-03-22T03:55:29.969938
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,42,0.7854302908901173,0.08830152321292922,0.6631205673758865,0.8684022824536376,0.6538240727748433,0.6188543377165284,2026-03-22T03:55:35.447006
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,123,0.7411690034971414,0.12786721328809228,0.5613475177304964,0.8476088508208423,0.6002262089888076,0.5681028001848342,2026-03-22T03:55:35.448005
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,456,0.8428946533145711,0.015900748491327926,0.8276595744680851,0.8648359486447932,0.6392400394801386,0.691095945763713,2026-03-22T03:55:35.448505
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,789,0.748177522380897,0.1720184054287747,0.5049645390070922,0.8743754461099215,0.6050273591176398,0.5909870102215063,2026-03-22T03:55:35.449505
S4,sleep_edf,native,BPE_Hist_Log_LogReg,256,64,2024,0.8474622321673219,0.029731775250353806,0.8060283687943263,0.8743754461099215,0.5915138704117875,0.6932184110025895,2026-03-22T03:55:35.450004
S4,sleep_edf,universal,BPE_Hist_Log_LogReg,256,64,42,0.7762569132707755,0.11611846640557652,0.6131205673758865,0.8741084165477889,0.602341782292786,0.6084807403155081,2026-03-22T04:01:06.715450
S4,sleep_edf,universal,BPE_Hist_Log_LogReg,256,64,123,0.7828091491882713,0.12251176047820336,0.6095744680851064,0.8718772305496074,0.5812907022281784,0.622887075432307,2026-03-22T04:01:06.716449
S4,sleep_edf,universal,BPE_Hist_Log_LogReg,256,64,456,0.7958775639353179,0.08856665360049583,0.6723404255319149,0.8755349500713266,0.6176581636241881,0.6286168371975075,2026-03-22T04:01:06.717449
S4,sleep_edf,universal,BPE_Hist_Log_LogReg,256,64,789,0.8089568397513043,0.05257202227809987,0.7351063829787234,0.8533190578158458,0.6315696630176962,0.6459474897415359,2026-03-22T04:01:06.717949
S4,sleep_edf,universal,BPE_Hist_Log_LogReg,256,64,2024,0.8560641532723293,0.009309500679523689,0.8439716312056738,0.8666191155492154,0.5878381908080045,0.7153595047522421,2026-03-22T04:01:06.718948
