vocab_size,n_bins,method,total_bpe_tokens,total_base_tokens,compression_ratio,vocab_utilization,mean_token_length,zipf_slope,zipf_r_squared,zipf_ks_statistic,zipf_ks_p_value,heaps_final_unique,heaps_final_size,dataset,ds_compression,ds_vocab_utilization,ds_mean_token_length,timestamp
512,64,adaptive,71298349,95930860,1.345485012563194,1.0,1.345485012563194,-1.4340477068731057,0.8604074258339833,0.6134146506327456,0.0,512,71298349,bci_iv_2a,1.1306047341791616,0.82421875,1.1306047341791616,2026-03-07T16:45:00.012892
512,64,adaptive,71298349,95930860,1.345485012563194,1.0,1.345485012563194,-1.4340477068731057,0.8604074258339833,0.6134146506327456,0.0,512,71298349,physionet_mi,1.1302789767914088,0.818359375,1.1302789767914088,2026-03-07T16:45:00.335383
512,64,adaptive,71298349,95930860,1.345485012563194,1.0,1.345485012563194,-1.4340477068731057,0.8604074258339833,0.6134146506327456,0.0,512,71298349,sleep_edf,1.1149449387539065,0.826171875,1.1149449387539065,2026-03-07T16:45:00.543258
512,64,adaptive,71298349,95930860,1.345485012563194,1.0,1.345485012563194,-1.4340477068731057,0.8604074258339833,0.6134146506327456,0.0,512,71298349,mental_arithmetic,1.3986003690832765,0.974609375,1.3986003690832765,2026-03-07T16:45:01.173755
512,64,adaptive,71298349,95930860,1.345485012563194,1.0,1.345485012563194,-1.4340477068731057,0.8604074258339833,0.6134146506327456,0.0,512,71298349,epfl_p300,1.2697021607520558,0.94140625,1.2697021607520558,2026-03-07T16:45:04.329458
512,64,adaptive,71298349,95930860,1.345485012563194,1.0,1.345485012563194,-1.4340477068731057,0.8604074258339833,0.6134146506327456,0.0,512,71298349,ssvep_nakanishi,4.596070897984282,0.96484375,4.596070897984282,2026-03-07T16:45:04.510953
1024,64,adaptive,67554972,95930860,1.4200414441737907,1.0,1.4200414441737907,-1.2919984078907734,0.8550461051572991,0.5074604359145347,0.0,1024,67554972,bci_iv_2a,1.1614668326277406,0.841796875,1.1614668326277406,2026-03-07T16:45:40.435297
1024,64,adaptive,67554972,95930860,1.4200414441737907,1.0,1.4200414441737907,-1.2919984078907734,0.8550461051572991,0.5074604359145347,0.0,1024,67554972,physionet_mi,1.149197108252971,0.8427734375,1.149197108252971,2026-03-07T16:45:40.777078
1024,64,adaptive,67554972,95930860,1.4200414441737907,1.0,1.4200414441737907,-1.2919984078907734,0.8550461051572991,0.5074604359145347,0.0,1024,67554972,sleep_edf,1.128963012976489,0.84375,1.128963012976489,2026-03-07T16:45:40.984072
1024,64,adaptive,67554972,95930860,1.4200414441737907,1.0,1.4200414441737907,-1.2919984078907734,0.8550461051572991,0.5074604359145347,0.0,1024,67554972,mental_arithmetic,1.4944663450767364,0.9365234375,1.4944663450767364,2026-03-07T16:45:41.608054
1024,64,adaptive,67554972,95930860,1.4200414441737907,1.0,1.4200414441737907,-1.2919984078907734,0.8550461051572991,0.5074604359145347,0.0,1024,67554972,epfl_p300,1.3475985615268944,0.90625,1.3475985615268944,2026-03-07T16:45:44.955284
1024,64,adaptive,67554972,95930860,1.4200414441737907,1.0,1.4200414441737907,-1.2919984078907734,0.8550461051572991,0.5074604359145347,0.0,1024,67554972,ssvep_nakanishi,5.379774360028089,0.853515625,5.379774360028089,2026-03-07T16:45:45.128783
2048,64,adaptive,63999589,95930860,1.4989293134366848,1.0,1.4989293134366848,-1.0289756196420186,0.816147587260766,0.2689976585244879,6.99504605987436e-284,2048,63999589,bci_iv_2a,1.194414639309202,0.892578125,1.194414639309202,2026-03-07T16:46:19.341374
2048,64,adaptive,63999589,95930860,1.4989293134366848,1.0,1.4989293134366848,-1.0289756196420186,0.816147587260766,0.2689976585244879,6.99504605987436e-284,2048,63999589,physionet_mi,1.167373373429366,0.884765625,1.167373373429366,2026-03-07T16:46:19.680864
2048,64,adaptive,63999589,95930860,1.4989293134366848,1.0,1.4989293134366848,-1.0289756196420186,0.816147587260766,0.2689976585244879,6.99504605987436e-284,2048,63999589,sleep_edf,1.1418320314333672,0.8544921875,1.1418320314333672,2026-03-07T16:46:19.888359
2048,64,adaptive,63999589,95930860,1.4989293134366848,1.0,1.4989293134366848,-1.0289756196420186,0.816147587260766,0.2689976585244879,6.99504605987436e-284,2048,63999589,mental_arithmetic,1.6177748613680472,0.9404296875,1.6177748613680472,2026-03-07T16:46:20.496343
2048,64,adaptive,63999589,95930860,1.4989293134366848,1.0,1.4989293134366848,-1.0289756196420186,0.816147587260766,0.2689976585244879,6.99504605987436e-284,2048,63999589,epfl_p300,1.4301589070474352,0.92822265625,1.4301589070474352,2026-03-07T16:46:23.561293
2048,64,adaptive,63999589,95930860,1.4989293134366848,1.0,1.4989293134366848,-1.0289756196420186,0.816147587260766,0.2689976585244879,6.99504605987436e-284,2048,63999589,ssvep_nakanishi,6.116784387332628,0.71240234375,6.116784387332628,2026-03-07T16:46:23.723288
