dataset,classifier,vocab_size,seed,cv_strategy,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,macro_f1_mean,kappa_mean,auc_roc_mean,n_folds,n_trials,n_subjects,confusion_matrix,timestamp
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,0.2689043209876543,0.0186706074576587,0.2571325231481481,0.2802903163580246,0.2689043209876543,0.2399591678195433,0.0252057613168724,0.5337887499285551,9,5184,9,"[[147, 370, 264, 515], [138, 393, 326, 439], [142, 395, 302, 457], [173, 273, 298, 552]]",2026-03-07T16:58:44.780688
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,0.269483024691358,0.0188728006306095,0.2569444444444444,0.2810619212962963,0.269483024691358,0.2391882158805418,0.025977366255144,0.5337954478880886,9,5184,9,"[[143, 389, 240, 524], [137, 409, 307, 443], [133, 411, 288, 464], [169, 285, 285, 557]]",2026-03-07T16:58:44.787686
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,0.2706404320987654,0.0188135576238219,0.2581018518518518,0.2818287037037036,0.2706404320987654,0.2406842588231175,0.0275205761316872,0.5337914291123687,9,5184,9,"[[146, 386, 237, 527], [138, 405, 310, 443], [138, 407, 289, 462], [168, 283, 282, 563]]",2026-03-07T16:58:44.794685
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,0.2706404320987655,0.017994697345708,0.2588734567901235,0.2826051311728395,0.2706404320987655,0.2413487110512743,0.0275205761316872,0.5338099601337449,9,5184,9,"[[153, 387, 239, 517], [139, 410, 306, 441], [136, 413, 285, 462], [170, 288, 283, 555]]",2026-03-07T16:58:44.801690
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,0.2710262345679012,0.019322888839724,0.2584828317901234,0.2824122299382716,0.2710262345679012,0.2411424339598612,0.0280349794238682,0.53380035972508,9,5184,9,"[[143, 388, 239, 526], [137, 413, 306, 440], [135, 408, 293, 460], [169, 288, 283, 556]]",2026-03-07T16:58:44.808690
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,0.2472993827160494,0.0183935145695373,0.2349440586419753,0.2594569830246914,0.2472993827160494,0.2463461850288558,-0.0036008230452674,0.508864526177412,9,5184,9,"[[303, 321, 352, 320], [307, 334, 348, 307], [292, 352, 304, 348], [314, 323, 318, 341]]",2026-03-07T17:01:50.850074
bci_iv_2a,BPE_Hist_RF,4096,123,LOSO,0.2472993827160494,0.0183935145695373,0.2345679012345679,0.2588734567901234,0.2472993827160494,0.2463461850288558,-0.0036008230452674,0.508864526177412,9,5184,9,"[[303, 321, 352, 320], [307, 334, 348, 307], [292, 352, 304, 348], [314, 323, 318, 341]]",2026-03-07T17:01:50.857074
bci_iv_2a,BPE_Hist_RF,4096,456,LOSO,0.2472993827160494,0.0183935145695373,0.2355324074074074,0.2586805555555556,0.2472993827160494,0.2463461850288558,-0.0036008230452674,0.508864526177412,9,5184,9,"[[303, 321, 352, 320], [307, 334, 348, 307], [292, 352, 304, 348], [314, 323, 318, 341]]",2026-03-07T17:01:50.864074
bci_iv_2a,BPE_Hist_RF,4096,789,LOSO,0.2472993827160494,0.0183935145695373,0.2357204861111111,0.260035686728395,0.2472993827160494,0.2463461850288558,-0.0036008230452674,0.508864526177412,9,5184,9,"[[303, 321, 352, 320], [307, 334, 348, 307], [292, 352, 304, 348], [314, 323, 318, 341]]",2026-03-07T17:01:50.871074
bci_iv_2a,BPE_Hist_RF,4096,2024,LOSO,0.2472993827160494,0.0183935145695373,0.2355275848765431,0.2588734567901234,0.2472993827160494,0.2463461850288558,-0.0036008230452674,0.508864526177412,9,5184,9,"[[303, 321, 352, 320], [307, 334, 348, 307], [292, 352, 304, 348], [314, 323, 318, 341]]",2026-03-07T17:01:50.878073
bci_iv_2a,BPE_Windowed_LogReg,4096,42,LOSO,0.3016975308641975,0.024671758714363,0.2847222222222222,0.3175154320987654,0.3016975308641975,0.2974802661327476,0.0689300411522633,0.5575390446387746,9,5184,9,"[[310, 366, 245, 375], [258, 455, 326, 257], [238, 372, 338, 348], [269, 280, 286, 461]]",2026-03-07T17:02:08.892992
bci_iv_2a,BPE_Windowed_LogReg,4096,123,LOSO,0.3022762345679013,0.0245037723891981,0.2851032021604938,0.3163628472222222,0.3022762345679013,0.2981695496543,0.0697016460905349,0.5575546732110196,9,5184,9,"[[311, 366, 244, 375], [258, 455, 326, 257], [236, 373, 339, 348], [267, 280, 287, 462]]",2026-03-07T17:02:08.899492
bci_iv_2a,BPE_Windowed_LogReg,4096,456,LOSO,0.3009259259259259,0.0240144605569981,0.285865162037037,0.3159722222222222,0.3009259259259259,0.2966340740241477,0.0679012345679012,0.5575792323959763,9,5184,9,"[[306, 366, 245, 379], [259, 454, 326, 257], [237, 371, 339, 349], [270, 281, 284, 461]]",2026-03-07T17:02:08.907064
bci_iv_2a,BPE_Windowed_LogReg,4096,789,LOSO,0.3020833333333333,0.0242365643418656,0.2856867283950617,0.316358024691358,0.3020833333333333,0.2979103592700667,0.0694444444444444,0.5575481985168038,9,5184,9,"[[310, 366, 244, 376], [258, 455, 326, 257], [236, 372, 339, 349], [268, 280, 286, 462]]",2026-03-07T17:02:08.914062
bci_iv_2a,BPE_Windowed_LogReg,4096,2024,LOSO,0.3016975308641976,0.0241226830996329,0.2852864583333332,0.3157793209876543,0.3016975308641976,0.2974580470803039,0.0689300411522633,0.557563603823731,9,5184,9,"[[307, 366, 245, 378], [257, 455, 327, 257], [236, 371, 340, 349], [268, 279, 287, 462]]",2026-03-07T17:02:08.920563
bci_iv_2a,BPE_WindowedSeq_CNN,4096,42,LOSO,0.3096064814814814,0.0259321255814908,0.2933931327160494,0.3267795138888889,0.3096064814814814,0.249929245964463,0.0794753086419753,0.5633939543324188,9,5184,9,"[[134, 554, 78, 530], [129, 702, 94, 371], [138, 633, 91, 434], [127, 421, 70, 678]]",2026-03-07T17:03:09.416680
bci_iv_2a,BPE_WindowedSeq_CNN,4096,123,LOSO,0.3013117283950617,0.0334259490811907,0.2775752314814814,0.320606674382716,0.3013117283950617,0.2444063665025197,0.0684156378600823,0.5613131215706447,9,5184,9,"[[72, 552, 117, 555], [75, 692, 122, 407], [86, 613, 118, 479], [89, 411, 116, 680]]",2026-03-07T17:03:52.860848
bci_iv_2a,BPE_WindowedSeq_CNN,4096,456,LOSO,0.3094135802469135,0.0262884115214883,0.2930169753086419,0.3277391975308641,0.3094135802469135,0.2429184758401271,0.0792181069958847,0.5626169910265202,9,5184,9,"[[82, 583, 73, 558], [81, 738, 87, 390], [78, 663, 102, 453], [98, 450, 66, 682]]",2026-03-07T17:04:36.478214
bci_iv_2a,BPE_WindowedSeq_CNN,4096,789,LOSO,0.3069058641975308,0.0283715683809417,0.2885802469135802,0.3263888888888889,0.3069058641975309,0.2477092943898801,0.0758744855967077,0.5690387713620256,9,5184,9,"[[102, 567, 111, 516], [97, 714, 117, 368], [105, 634, 117, 440], [107, 425, 106, 658]]",2026-03-07T17:05:22.402270
bci_iv_2a,BPE_WindowedSeq_CNN,4096,2024,LOSO,0.3009259259259259,0.0283623860065806,0.2833670910493827,0.3186728395061728,0.3009259259259259,0.2419619122522347,0.0679012345679012,0.5642325388660265,9,5184,9,"[[123, 616, 47, 510], [139, 745, 56, 356], [142, 674, 39, 441], [145, 450, 48, 653]]",2026-03-07T17:06:08.151017
bci_iv_2a,BPE_Bigram_LogReg,4096,42,LOSO,0.2650462962962963,0.0208815029544776,0.2525028935185185,0.2789351851851852,0.2650462962962963,0.1640866943332435,0.0200617283950617,0.5433637063471651,9,5184,9,"[[0, 435, 324, 537], [0, 472, 338, 486], [0, 466, 329, 501], [1, 396, 326, 573]]",2026-03-07T17:06:24.455240
bci_iv_2a,BPE_Bigram_LogReg,4096,123,LOSO,0.2685185185185185,0.0237621124625553,0.2536651234567901,0.2849199459876543,0.2685185185185185,0.1709060199628061,0.0246913580246913,0.5433250814471879,9,5184,9,"[[232, 218, 438, 408], [220, 261, 425, 390], [216, 234, 434, 412], [228, 211, 392, 465]]",2026-03-07T17:06:24.462238
bci_iv_2a,BPE_Bigram_LogReg,4096,456,LOSO,0.2704475308641975,0.0192418377153356,0.2581018518518518,0.2833719135802469,0.2704475308641975,0.1692319487214545,0.0272633744855967,0.5433210626714678,9,5184,9,"[[176, 222, 373, 525], [172, 264, 392, 468], [176, 247, 395, 478], [177, 180, 372, 567]]",2026-03-07T17:06:24.469238
bci_iv_2a,BPE_Bigram_LogReg,4096,789,LOSO,0.2604166666666667,0.0219907407407407,0.2459490740740741,0.2754677854938271,0.2604166666666667,0.1752309421944354,0.0138888888888888,0.5433078900177183,9,5184,9,"[[439, 470, 139, 248], [432, 484, 169, 211], [459, 484, 163, 190], [482, 396, 154, 264]]",2026-03-07T17:06:24.476244
bci_iv_2a,BPE_Bigram_LogReg,4096,2024,LOSO,0.2741126543209876,0.02293659762211,0.2600308641975308,0.2905189043209876,0.2741126543209876,0.1872678650630747,0.0321502057613168,0.5433429426726109,9,5184,9,"[[279, 237, 348, 432], [249, 312, 345, 390], [259, 278, 346, 413], [292, 188, 332, 484]]",2026-03-07T17:06:24.483239
bci_iv_2a,BPE_Seq_CNN,4096,42,LOSO,0.2561728395061728,0.0131738974374721,0.2474922839506173,0.2648533950617284,0.2561728395061728,0.2113128057562863,0.0082304526748971,0.5153704775377228,9,5184,9,"[[458, 451, 228, 159], [432, 462, 255, 147], [445, 467, 254, 130], [474, 440, 228, 154]]",2026-03-07T17:06:34.770119
bci_iv_2a,BPE_Seq_CNN,4096,123,LOSO,0.267554012345679,0.0131314602045659,0.2592592592592593,0.2760464891975308,0.267554012345679,0.238933406361228,0.0234053497942386,0.5200304712505717,9,5184,9,"[[360, 545, 122, 269], [331, 594, 124, 247], [385, 542, 140, 229], [373, 521, 109, 293]]",2026-03-07T17:06:42.556476
bci_iv_2a,BPE_Seq_CNN,4096,456,LOSO,0.2658179012345679,0.0151227678414503,0.2567515432098765,0.2760464891975309,0.2658179012345679,0.2326239330007257,0.0210905349794238,0.5198793206304297,9,5184,9,"[[346, 513, 190, 247], [322, 558, 178, 238], [331, 528, 178, 259], [333, 489, 178, 296]]",2026-03-07T17:06:49.031361
bci_iv_2a,BPE_Seq_CNN,4096,789,LOSO,0.2604166666666666,0.0120559413518516,0.2523148148148148,0.2685185185185185,0.2604166666666666,0.2259405259857218,0.0138888888888888,0.5140956325731596,9,5184,9,"[[417, 419, 280, 180], [390, 440, 325, 141], [420, 440, 291, 145], [395, 413, 286, 202]]",2026-03-07T17:06:56.458759
bci_iv_2a,BPE_Seq_CNN,4096,2024,LOSO,0.2561728395061728,0.0148471307136526,0.2461419753086419,0.265625,0.2561728395061728,0.2192729231650214,0.0082304526748971,0.5139514031778692,9,5184,9,"[[324, 544, 205, 223], [337, 540, 207, 212], [367, 531, 208, 190], [348, 499, 193, 256]]",2026-03-07T17:07:03.052640
bci_iv_2a,BPE_Seq_Transformer,4096,42,LOSO,0.2665895061728395,0.024811628380885,0.2517361111111111,0.2822145061728395,0.2665895061728395,0.1976128769715391,0.022119341563786,0.5227538615969364,9,5184,9,"[[287, 464, 155, 390], [300, 457, 179, 360], [296, 454, 185, 361], [264, 418, 161, 453]]",2026-03-07T17:08:06.745719
