dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa,auc_roc
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,0,0.2690972222222222,0.2690972222222222,0.2543590088882864,0.0254629629629629,0.5397497106481481
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,1,0.2604166666666667,0.2604166666666667,0.2374291098429029,0.0138888888888888,0.5183497299382716
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,2,0.2829861111111111,0.2829861111111111,0.2822417116617399,0.0439814814814815,0.5589232896090535
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,3,0.2916666666666667,0.2916666666666667,0.2877949539963754,0.0555555555555555,0.5579527552726338
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,4,0.2447916666666666,0.2447916666666666,0.2268061358161313,-0.0069444444444444,0.4933248135288066
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,5,0.2690972222222222,0.2690972222222222,0.2199113563104389,0.0254629629629629,0.5243497620884774
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,6,0.2708333333333333,0.2708333333333333,0.2575635102023851,0.0277777777777777,0.5431134259259259
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,7,0.2951388888888889,0.2951388888888889,0.2820443238209107,0.0601851851851852,0.5518864133230452
bci_iv_2a,BPE_Hist_LogReg,4096,42,LOSO,8,0.2361111111111111,0.2361111111111111,0.1114823998367194,-0.0185185185185186,0.5164488490226338
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,0,0.2708333333333333,0.2708333333333333,0.255815555558727,0.0277777777777777,0.5397497106481481
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,1,0.2690972222222222,0.2690972222222222,0.2431990008098432,0.0254629629629629,0.5183497299382716
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,2,0.28125,0.28125,0.281941151841825,0.0416666666666666,0.5589674961419753
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,3,0.2951388888888889,0.2951388888888889,0.290853076364379,0.0601851851851852,0.5579226144547326
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,4,0.2447916666666666,0.2447916666666666,0.2274194519769158,-0.0069444444444444,0.4933047196502058
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,5,0.2638888888888889,0.2638888888888889,0.208361113988874,0.0185185185185184,0.5244140625
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,6,0.265625,0.265625,0.2484069466093706,0.0208333333333333,0.5431676793981481
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,7,0.296875,0.296875,0.2818252259972377,0.0625,0.5518984696502057
bci_iv_2a,BPE_Hist_LogReg,4096,123,LOSO,8,0.2378472222222222,0.2378472222222222,0.1148724197777039,-0.0162037037037037,0.5163845486111112
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,0,0.2690972222222222,0.2690972222222222,0.2543366628578489,0.0254629629629629,0.5397416730967078
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,1,0.2708333333333333,0.2708333333333333,0.2462738896967814,0.0277777777777777,0.5184100115740742
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,2,0.2829861111111111,0.2829861111111111,0.2837881019080394,0.0439814814814815,0.5590277777777778
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,3,0.2899305555555556,0.2899305555555556,0.2844953307813035,0.0532407407407407,0.5578743891460907
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,4,0.2447916666666666,0.2447916666666666,0.2287665831074826,-0.0069444444444444,0.493385095164609
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,5,0.2743055555555556,0.2743055555555556,0.2242560538829195,0.0324074074074074,0.5244100437242798
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,6,0.2690972222222222,0.2690972222222222,0.24835070101011,0.0254629629629629,0.5430209940843622
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,7,0.2986111111111111,0.2986111111111111,0.2843285403861449,0.0648148148148147,0.5518743569958848
bci_iv_2a,BPE_Hist_LogReg,4096,456,LOSO,8,0.2361111111111111,0.2361111111111111,0.1115624657774273,-0.0185185185185186,0.5163785204475309
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,0,0.2690972222222222,0.2690972222222222,0.2543872121103185,0.0254629629629629,0.5397577481995885
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,1,0.265625,0.265625,0.2399849056053435,0.0208333333333333,0.5183738425925927
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,2,0.2829861111111111,0.2829861111111111,0.2842793439695399,0.0439814814814815,0.5590117026748971
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,3,0.2951388888888889,0.2951388888888888,0.2893423286966901,0.0601851851851852,0.5578904642489712
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,4,0.2465277777777778,0.2465277777777777,0.2295166346096928,-0.0046296296296295,0.4932926633230452
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,5,0.2690972222222222,0.2690972222222222,0.2168312880330424,0.0254629629629629,0.5244261188271604
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,6,0.2690972222222222,0.2690972222222222,0.2541216533692366,0.0254629629629629,0.5431254822530864
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,7,0.296875,0.296875,0.2835392908977815,0.0625,0.5520109953703703
bci_iv_2a,BPE_Hist_LogReg,4096,789,LOSO,8,0.2413194444444444,0.2413194444444444,0.1201357421698232,-0.0115740740740741,0.5164006237139918
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,0,0.2725694444444444,0.2725694444444444,0.2572533468136916,0.0300925925925925,0.5397979359567902
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,1,0.2708333333333333,0.2708333333333333,0.2462738896967814,0.0277777777777777,0.5183838895318931
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,2,0.28125,0.28125,0.2811063909132122,0.0416666666666666,0.5589916087962963
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,3,0.2951388888888889,0.2951388888888889,0.2903736649459796,0.0601851851851852,0.5578703703703703
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,4,0.2447916666666666,0.2447916666666666,0.2268061358161313,-0.0069444444444444,0.4933047196502058
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,5,0.2690972222222222,0.2690972222222222,0.2157709764737735,0.0254629629629629,0.5243979873971194
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,6,0.2708333333333333,0.2708333333333333,0.2564470261987715,0.0277777777777777,0.5431174447016461
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,7,0.2986111111111111,0.2986111111111111,0.2846880090029822,0.0648148148148147,0.5519507137345679
bci_iv_2a,BPE_Hist_LogReg,4096,2024,LOSO,8,0.2361111111111111,0.2361111111111111,0.1115624657774273,-0.0185185185185186,0.5163885673868313
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,0,0.25,0.25,0.2506608929696473,0.0,0.5075311856995884
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,1,0.2604166666666667,0.2604166666666667,0.2592339714589583,0.0138888888888888,0.5089056069958847
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,2,0.234375,0.234375,0.2345499753929845,-0.0208333333333332,0.5006430041152263
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,3,0.234375,0.234375,0.2335155772265532,-0.0208333333333332,0.5048787937242799
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,4,0.265625,0.2656249999999999,0.2660929320936013,0.0208333333333333,0.5113570601851852
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,5,0.2743055555555556,0.2743055555555556,0.273026894449072,0.0324074074074074,0.517578125
bci_iv_2a,BPE_Hist_RF,4096,42,LOSO,6,0.2152777777777778,0.2152777777777778,0.2147521421154696,-0.0462962962962962,0.522850758744856
