dataset,vocab_size,seed,fold,accuracy,balanced_accuracy,kappa
bci_iv_2a,1024,42,0,0.265625,0.265625,0.02083333333333337
bci_iv_2a,1024,42,1,0.2725694444444444,0.2725694444444444,0.03009259259259256
bci_iv_2a,1024,42,2,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,42,3,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,42,4,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,1024,42,5,0.2534722222222222,0.2534722222222222,0.00462962962962965
bci_iv_2a,1024,42,6,0.2760416666666667,0.2760416666666667,0.03472222222222221
bci_iv_2a,1024,42,7,0.3107638888888889,0.3107638888888889,0.08101851851851849
bci_iv_2a,1024,42,8,0.265625,0.265625,0.02083333333333337
bci_iv_2a,1024,123,0,0.265625,0.265625,0.02083333333333337
bci_iv_2a,1024,123,1,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,123,2,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,123,3,0.28125,0.28125,0.04166666666666663
bci_iv_2a,1024,123,4,0.24305555555555555,0.24305555555555558,-0.0092592592592593
bci_iv_2a,1024,123,5,0.2552083333333333,0.2552083333333333,0.00694444444444442
bci_iv_2a,1024,123,6,0.2690972222222222,0.2690972222222222,0.02546296296296291
bci_iv_2a,1024,123,7,0.3072916666666667,0.30729166666666663,0.07638888888888884
bci_iv_2a,1024,123,8,0.2638888888888889,0.2638888888888889,0.01851851851851849
bci_iv_2a,1024,456,0,0.2621527777777778,0.2621527777777778,0.01620370370370372
bci_iv_2a,1024,456,1,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,456,2,0.2795138888888889,0.2795138888888889,0.03935185185185186
bci_iv_2a,1024,456,3,0.2795138888888889,0.2795138888888889,0.03935185185185186
bci_iv_2a,1024,456,4,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,1024,456,5,0.2569444444444444,0.2569444444444444,0.0092592592592593
bci_iv_2a,1024,456,6,0.2743055555555556,0.2743055555555556,0.03240740740740744
bci_iv_2a,1024,456,7,0.3107638888888889,0.3107638888888889,0.08101851851851849
bci_iv_2a,1024,456,8,0.2638888888888889,0.2638888888888889,0.01851851851851849
bci_iv_2a,1024,789,0,0.265625,0.265625,0.02083333333333337
bci_iv_2a,1024,789,1,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,789,2,0.2795138888888889,0.2795138888888889,0.03935185185185186
bci_iv_2a,1024,789,3,0.28125,0.28125,0.04166666666666663
bci_iv_2a,1024,789,4,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,1024,789,5,0.2569444444444444,0.2569444444444444,0.0092592592592593
bci_iv_2a,1024,789,6,0.2725694444444444,0.2725694444444444,0.03009259259259256
bci_iv_2a,1024,789,7,0.3090277777777778,0.3090277777777778,0.07870370370370372
bci_iv_2a,1024,789,8,0.2638888888888889,0.2638888888888889,0.01851851851851849
bci_iv_2a,1024,2024,0,0.265625,0.265625,0.02083333333333337
bci_iv_2a,1024,2024,1,0.2725694444444444,0.2725694444444444,0.03009259259259256
bci_iv_2a,1024,2024,2,0.2795138888888889,0.2795138888888889,0.03935185185185186
bci_iv_2a,1024,2024,3,0.2777777777777778,0.2777777777777778,0.03703703703703709
bci_iv_2a,1024,2024,4,0.2517361111111111,0.2517361111111111,0.0023148148148147696
bci_iv_2a,1024,2024,5,0.2552083333333333,0.2552083333333333,0.00694444444444442
bci_iv_2a,1024,2024,6,0.2725694444444444,0.2725694444444445,0.03009259259259256
bci_iv_2a,1024,2024,7,0.3072916666666667,0.3072916666666667,0.07638888888888884
bci_iv_2a,1024,2024,8,0.2638888888888889,0.2638888888888889,0.01851851851851849
physionet_mi,1024,42,0,0.32537154989384287,0.3251448571136948,0.10020065984773907
physionet_mi,1024,42,1,0.3397231096911608,0.33980747976485615,0.1196923807378083
physionet_mi,1024,42,2,0.3185935002663825,0.3189668643265814,0.09172345248170821
physionet_mi,1024,42,3,0.31865828092243187,0.31902138854152323,0.09188063524421353
physionet_mi,1024,42,4,0.3113879003558719,0.31150446495979556,0.08195759476806919
physionet_mi,1024,123,0,0.32339089481946626,0.3234340317370819,0.09783583386518024
physionet_mi,1024,123,1,0.3370666666666667,0.33779582030506183,0.11660090961915248
physionet_mi,1024,123,2,0.2920634920634921,0.29211525088939483,0.056005375440954075
physionet_mi,1024,123,3,0.3161530286928799,0.31607198245213836,0.08812817603347911
physionet_mi,1024,123,4,0.3066607063030845,0.30653007679974636,0.0752808335936358
physionet_mi,1024,456,0,0.33846971307120083,0.3387079414816962,0.11834627228695871
physionet_mi,1024,456,1,0.3328092243186583,0.33291664628367973,0.1104403182790723
physionet_mi,1024,456,2,0.31296493092454836,0.31310720681461557,0.08402703096410269
physionet_mi,1024,456,3,0.31629392971246006,0.3158781521313367,0.08797747016691992
physionet_mi,1024,456,4,0.3180400890868597,0.3184836694490536,0.09107292741530726
physionet_mi,1024,789,0,0.32180851063829785,0.32147505034174684,0.09535733762569987
physionet_mi,1024,789,1,0.3213166144200627,0.32131119708147166,0.09498044931272287
physionet_mi,1024,789,2,0.31446540880503143,0.31420571940029374,0.08577842381047274
physionet_mi,1024,789,3,0.3296,0.32972160221975566,0.10619985854682457
physionet_mi,1024,789,4,0.324165915238954,0.3244359582125981,0.09909958244253503
physionet_mi,1024,2024,0,0.3170984455958549,0.31703680322167993,0.0892820381545335
physionet_mi,1024,2024,1,0.3060021436227224,0.3057952506490115,0.07437391621112588
physionet_mi,1024,2024,2,0.3418940609951846,0.34204376595631636,0.12261993860663856
physionet_mi,1024,2024,3,0.3253968253968254,0.3259050024957833,0.10096870412272863
physionet_mi,1024,2024,4,0.30357142857142855,0.30361689148796756,0.0714379478523548
sleep_edf,1024,42,0,0.6711074104912573,0.5756919006311632,0.44443414708333884
sleep_edf,1024,42,1,0.7400491848073595,0.5946967660105128,0.504974760938417
sleep_edf,1024,42,2,0.7396089131423375,0.5852222793058488,0.5193965414250998
sleep_edf,1024,42,3,0.7241603870127453,0.4408678349638098,0.5345912077346904
sleep_edf,1024,42,4,0.7819990954319312,0.6248218802569421,0.5758153711229211
sleep_edf,1024,123,0,0.6731553578049685,0.5946917233816873,0.4334032263100107
