token_id,merge_level,length_base,duration_ms,dominant_freq_hz,spectral_entropy,hjorth_activity,hjorth_mobility,hjorth_complexity,band_delta,band_theta,band_alpha,band_beta,band_gamma
76,13,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,18,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,67,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,68,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,69,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,70,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,71,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,72,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,73,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,74,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,75,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,76,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,77,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,78,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,79,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,80,8,62.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,81,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,82,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,83,4,31.25,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
