dataset,approach,approach_label,vocab_size,vocab_source,seed,paradigm,n_classes,chance_level,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,kappa_mean,compression_ratio,mean_token_len_ms,n_folds,n_trials,n_subjects,timestamp
bci_iv_2a,raw,Raw BPE (baseline),4096,shared,42,Motor Imagery,4,0.25,0.24402006172839505,0.01657379747223039,0.2334104938271605,0.2542438271604939,0.24217462981062596,-0.007973251028806614,1.241,4.95,9,5184,9,2026-03-10T15:29:02.393157
bci_iv_2a,raw,Raw BPE (baseline),4096,shared,123,Motor Imagery,4,0.25,0.2438271604938272,0.01673466851411753,0.2312885802469136,0.2538628472222223,0.24195676097604935,-0.008230452674897118,1.241,4.95,9,5184,9,2026-03-10T15:29:02.404365
bci_iv_2a,raw,Raw BPE (baseline),4096,shared,456,Motor Imagery,4,0.25,0.24402006172839505,0.016411349579593518,0.23244598765432098,0.2532793209876544,0.2421401890334504,-0.007973251028806564,1.241,4.95,9,5184,9,2026-03-10T15:29:02.411365
bci_iv_2a,raw,Raw BPE (baseline),4096,shared,789,Motor Imagery,4,0.25,0.24421296296296294,0.016931410692509016,0.23205536265432097,0.25405574845679013,0.24235567472252312,-0.0077160493827160715,1.241,4.95,9,5184,9,2026-03-10T15:29:02.418487
bci_iv_2a,raw,Raw BPE (baseline),4096,shared,2024,Motor Imagery,4,0.25,0.24440586419753085,0.016404546007306554,0.23283179012345678,0.25405574845679013,0.24253328835007895,-0.007458847736625529,1.241,4.95,9,5184,9,2026-03-10T15:29:02.425486
bci_iv_2a,downsample_64hz,Downsampled 64 Hz (H5),4096,shared,42,Motor Imagery,4,0.25,0.2706404320987654,0.012178776325358489,0.26331018518518523,0.2789351851851852,0.27000363684338696,0.02752057613168725,1.235,19.28,9,5184,9,2026-03-10T15:35:05.011663
bci_iv_2a,downsample_64hz,Downsampled 64 Hz (H5),4096,shared,123,Motor Imagery,4,0.25,0.2704475308641976,0.013190834102838549,0.2623456790123457,0.27971161265432093,0.2697843263073352,0.02726337448559672,1.235,19.28,9,5184,9,2026-03-10T15:35:05.019162
bci_iv_2a,downsample_64hz,Downsampled 64 Hz (H5),4096,shared,456,Motor Imagery,4,0.25,0.27044753086419754,0.01319083410283855,0.26176215277777776,0.279320987654321,0.26967786062798144,0.02726337448559672,1.235,19.28,9,5184,9,2026-03-10T15:35:05.026163
bci_iv_2a,downsample_64hz,Downsampled 64 Hz (H5),4096,shared,789,Motor Imagery,4,0.25,0.27141203703703703,0.013068969665088224,0.26349826388888886,0.27990451388888893,0.2707466126342537,0.02854938271604938,1.235,19.28,9,5184,9,2026-03-10T15:35:05.032928
bci_iv_2a,downsample_64hz,Downsampled 64 Hz (H5),4096,shared,2024,Motor Imagery,4,0.25,0.2708333333333333,0.01211137125952335,0.2631124614197531,0.27912808641975306,0.27018608934193084,0.027777777777777776,1.235,19.28,9,5184,9,2026-03-10T15:35:05.039929
