dataset,paradigm,win_sec,win_ms,n_codes,vocab_size,seed,n_classes,chance_level,n_trials,n_subjects,n_windows,n_freq,freq_resolution_hz,compression_ratio,mean_token_ms,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,macro_f1_mean,kappa_mean,n_folds,n_hist_features,cv_strategy,timestamp
bci_iv_2a,Motor Imagery,0.25,250,64,4096,42,4,0.25,5184,9,31,11,4.03,1.085,3572.9,0.2542438271604939,0.012495474336961142,0.24507619598765434,0.26216242283950614,0.25258719386085265,0.00565843621399177,9,2048,LOSO,2026-03-10T23:07:53.219805
bci_iv_2a,Motor Imagery,0.25,250,64,4096,123,4,0.25,5184,9,31,11,4.03,1.085,3572.9,0.25405092592592593,0.012519275262027736,0.24594907407407407,0.2621527777777778,0.2524645184045331,0.005401234567901227,9,2048,LOSO,2026-03-10T23:07:53.229395
bci_iv_2a,Motor Imagery,0.25,250,64,4096,456,4,0.25,5184,9,31,11,4.03,1.085,3572.9,0.2542438271604938,0.0126287710673865,0.24710648148148148,0.26186824845679013,0.2526056636600047,0.00565843621399177,9,2048,LOSO,2026-03-10T23:07:53.236522
bci_iv_2a,Motor Imagery,0.25,250,64,4096,789,4,0.25,5184,9,31,11,4.03,1.085,3572.9,0.25462962962962965,0.012465659275774314,0.24681230709876545,0.26195987654320985,0.2530877204024362,0.006172839506172843,9,2048,LOSO,2026-03-10T23:07:53.244023
bci_iv_2a,Motor Imagery,0.25,250,64,4096,2024,4,0.25,5184,9,31,11,4.03,1.085,3572.9,0.2542438271604939,0.012813057025783649,0.2446903935185185,0.2619598765432099,0.25261294469752216,0.00565843621399177,9,2048,LOSO,2026-03-10T23:07:53.251023
bci_iv_2a,Motor Imagery,0.5,500,64,4096,42,4,0.25,5184,9,15,22,2.0,1.077,3481.5,0.2681327160493827,0.015247741393032017,0.2572193287037037,0.27758487654320985,0.26681667344025833,0.024176954732510286,9,2048,LOSO,2026-03-10T23:15:46.202680
bci_iv_2a,Motor Imagery,0.5,500,64,4096,123,4,0.25,5184,9,15,22,2.0,1.077,3481.5,0.2683256172839506,0.015723521506415754,0.25752314814814814,0.2784577546296297,0.267000068266307,0.02443415637860084,9,2048,LOSO,2026-03-10T23:15:46.210179
bci_iv_2a,Motor Imagery,0.5,500,64,4096,456,4,0.25,5184,9,15,22,2.0,1.077,3481.5,0.2681327160493827,0.015766062300696403,0.25751350308641974,0.2785493827160494,0.266815649859807,0.024176954732510296,9,2048,LOSO,2026-03-10T23:15:46.217179
bci_iv_2a,Motor Imagery,0.5,500,64,4096,789,4,0.25,5184,9,15,22,2.0,1.077,3481.5,0.2685185185185185,0.015742442718443796,0.2570360725308642,0.2778790509259259,0.2672058689617714,0.024691358024691343,9,2048,LOSO,2026-03-10T23:15:46.224178
bci_iv_2a,Motor Imagery,0.5,500,64,4096,2024,4,0.25,5184,9,15,22,2.0,1.077,3481.5,0.2689043209876543,0.015144896933943297,0.2588734567901234,0.2777777777777778,0.2676340007957492,0.025205761316872417,9,2048,LOSO,2026-03-10T23:15:46.231638
