dataset,classifier,vocab_size,n_bins,method,with_envelope,seed,cv_strategy,n_folds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_mean,macro_f1_mean,kappa_mean,timestamp
bci_iv_2a,CSP_BPE_LogReg,512,64,adaptive,False,42,LOSO,3,0.3385416666666667,0.07209914281066679,0.2569444444444444,0.4322916666666667,0.3385416666666667,0.30767833183374965,0.11805555555555558,2026-03-21T22:11:13.765153
bci_iv_2a,CSP_BPE_LogReg,512,64,adaptive,False,123,LOSO,3,0.3333333333333333,0.07845224672010419,0.2517361111111111,0.4392361111111111,0.3333333333333333,0.28726606465952526,0.11111111111111109,2026-03-21T22:12:11.892403
bci_iv_2a,CSP_BPE_LogReg,512,64,adaptive,False,456,LOSO,3,0.34085648148148145,0.0765640528173205,0.24826388888888892,0.4357638888888889,0.34085648148148145,0.3064202178515147,0.12114197530864197,2026-03-21T22:13:10.370042
bci_iv_2a,CSP_BPE_LogReg,512,64,adaptive,False,789,LOSO,3,0.3333333333333333,0.07350676129283153,0.25,0.4288194444444444,0.3333333333333333,0.28897190819250146,0.11111111111111112,2026-03-21T22:14:08.725622
bci_iv_2a,CSP_BPE_LogReg,512,64,adaptive,False,2024,LOSO,3,0.34085648148148145,0.07222908472857055,0.2829861111111111,0.4375,0.34085648148148145,0.30649515467507393,0.12114197530864197,2026-03-21T22:15:06.970439
bci_iv_2a,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,42,LOSO,3,0.35821759259259256,0.027242134944305132,0.328125,0.39409722222222215,0.35821759259259256,0.33912881606745876,0.14429012345679013,2026-03-21T22:15:28.295084
bci_iv_2a,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,123,LOSO,3,0.3611111111111111,0.029291784108434655,0.3315972222222222,0.4010416666666667,0.3611111111111111,0.3422815070713326,0.14814814814814814,2026-03-21T22:15:49.388258
bci_iv_2a,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,456,LOSO,3,0.3605324074074074,0.0266077868809552,0.3315972222222222,0.3958333333333333,0.3605324074074074,0.3384494390766785,0.1473765432098765,2026-03-21T22:16:10.408939
bci_iv_2a,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,789,LOSO,3,0.3570601851851852,0.026607786880955206,0.328125,0.3923611111111111,0.3570601851851852,0.3386536677777132,0.1427469135802469,2026-03-21T22:16:30.682133
bci_iv_2a,CSP_Envelope_BPE_LogReg,512,64,adaptive,True,2024,LOSO,3,0.3547453703703704,0.029200175489682546,0.3211805555555556,0.3923611111111111,0.3547453703703704,0.33656996956574764,0.1396604938271605,2026-03-21T22:16:51.640310
bci_iv_2a,CSP_BPE_Seq_CNN,512,64,adaptive,False,42,LOSO,3,0.27719907407407407,0.01822687007873105,0.2517361111111111,0.2934027777777778,0.277199074074074,0.18814211537337608,0.03626543209876543,2026-03-21T22:17:59.411347
bci_iv_2a,CSP_BPE_Seq_CNN,512,64,adaptive,False,123,LOSO,3,0.25983796296296297,0.006698979689114716,0.2534722222222222,0.2690972222222222,0.25983796296296297,0.18604780556863557,0.013117283950617287,2026-03-21T22:19:08.335154
bci_iv_2a,CSP_BPE_Seq_CNN,512,64,adaptive,False,456,LOSO,3,0.25752314814814814,0.0072741927604030865,0.25,0.2673611111111111,0.2575231481481482,0.13701054109300012,0.010030864197530853,2026-03-21T22:20:19.129934
bci_iv_2a,CSP_BPE_Seq_CNN,512,64,adaptive,False,789,LOSO,3,0.2517361111111111,0.0014175287863328527,0.25,0.2534722222222222,0.2517361111111111,0.11498295187514618,0.0023148148148148064,2026-03-21T22:21:28.001587
bci_iv_2a,CSP_BPE_Seq_CNN,512,64,adaptive,False,2024,LOSO,3,0.2633101851851852,0.009438371776794026,0.25,0.2708333333333333,0.2633101851851852,0.21166901716117636,0.0177469135802469,2026-03-21T22:22:37.478939
physionet_mi,CSP_BPE_LogReg,512,64,adaptive,False,42,5fold-subject,3,0.2740740740740741,0.04566232594791834,0.2222222222222222,0.3333333333333333,0.27560543321412884,0.22058126070507775,0.03556320408954731,2026-03-21T22:22:47.797103
physionet_mi,CSP_BPE_LogReg,512,64,adaptive,False,123,5fold-subject,3,0.27037037037037037,0.04655483366657976,0.2222222222222222,0.3333333333333333,0.2711274233013363,0.22346390105395886,0.02926603668853341,2026-03-21T22:22:58.920161
physionet_mi,CSP_BPE_LogReg,512,64,adaptive,False,456,5fold-subject,3,0.2740740740740741,0.04996569467863719,0.2333333333333333,0.3444444444444444,0.2747937449024405,0.22463313564810938,0.034611483622943306,2026-03-21T22:23:09.327741
physionet_mi,CSP_BPE_LogReg,512,64,adaptive,False,789,5fold-subject,3,0.26666666666666666,0.05051178406291058,0.2111111111111111,0.3333333333333333,0.2673983625070582,0.22052707260410712,0.02462033947804665,2026-03-21T22:23:20.477285
