dataset,n_comp,vocab_size,n_bins,method,seed,cv_strategy,n_folds,accuracy_mean,accuracy_std,accuracy_ci_low,accuracy_ci_high,kappa_mean
bci_iv_2a,2,256,64,adaptive,42,LOSO,3,0.3177083333333333,0.01500171457964784,0.3038194444444444,0.3385416666666667,0.09027777777777779
bci_iv_2a,2,256,64,adaptive,123,LOSO,3,0.31307870370370366,0.019556418111939592,0.2951388888888889,0.34027777777777785,0.08410493827160496
bci_iv_2a,2,256,64,adaptive,456,LOSO,3,0.3142361111111111,0.02227821360523166,0.2951388888888889,0.3454861111111111,0.08564814814814814
bci_iv_2a,2,256,64,adaptive,789,LOSO,3,0.30671296296296297,0.011457748769226476,0.2986111111111111,0.3229166666666667,0.07561728395061725
bci_iv_2a,2,256,64,adaptive,2024,LOSO,3,0.3142361111111111,0.017244981974249254,0.3003472222222222,0.3385416666666667,0.08564814814814818
bci_iv_2a,4,256,64,adaptive,42,LOSO,3,0.3726851851851852,0.06834096270015982,0.3072916666666667,0.4670138888888889,0.16358024691358022
bci_iv_2a,4,256,64,adaptive,123,LOSO,3,0.37152777777777785,0.06707473010548966,0.3055555555555556,0.4635416666666667,0.162037037037037
bci_iv_2a,4,256,64,adaptive,456,LOSO,3,0.3726851851851852,0.06565673427630943,0.3055555555555556,0.4618055555555556,0.16358024691358028
bci_iv_2a,4,256,64,adaptive,789,LOSO,3,0.3709490740740741,0.06801676741703348,0.3020833333333333,0.4635416666666667,0.16126543209876543
bci_iv_2a,4,256,64,adaptive,2024,LOSO,3,0.3744212962962963,0.06664395671578373,0.3072916666666667,0.46527777777777785,0.16589506172839508
bci_iv_2a,6,256,64,adaptive,42,LOSO,3,0.3506944444444444,0.06635185605120876,0.2795138888888889,0.4392361111111111,0.13425925925925927
bci_iv_2a,6,256,64,adaptive,123,LOSO,3,0.3541666666666667,0.06774541956787913,0.28125,0.4444444444444444,0.13888888888888887
bci_iv_2a,6,256,64,adaptive,456,LOSO,3,0.3541666666666667,0.06495932963149204,0.2847222222222222,0.44097222222222215,0.13888888888888887
bci_iv_2a,6,256,64,adaptive,789,LOSO,3,0.36053240740740744,0.0697956013570545,0.2881944444444444,0.4548611111111111,0.14737654320987656
bci_iv_2a,6,256,64,adaptive,2024,LOSO,3,0.35300925925925924,0.06487162688699664,0.2864583333333333,0.44097222222222215,0.1373456790123457
bci_iv_2a,8,256,64,adaptive,42,LOSO,3,0.3726851851851852,0.06829684487005523,0.3159722222222222,0.46875,0.16358024691358022
bci_iv_2a,8,256,64,adaptive,123,LOSO,3,0.36921296296296297,0.06490259432939387,0.3125,0.4600694444444444,0.15895061728395063
bci_iv_2a,8,256,64,adaptive,456,LOSO,3,0.3744212962962963,0.06864899364044869,0.3142361111111111,0.4704861111111111,0.16589506172839508
bci_iv_2a,8,256,64,adaptive,789,LOSO,3,0.36747685185185186,0.06886817222598259,0.3055555555555556,0.4635416666666667,0.1566358024691358
bci_iv_2a,8,256,64,adaptive,2024,LOSO,3,0.37152777777777773,0.06796751202103266,0.3142361111111111,0.4670138888888889,0.16203703703703706
