dataset,classifier,vocab_size,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,0,0.265625,0.265625,0.2481931369242351,0.02083333333333337
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,1,0.3072916666666667,0.3072916666666667,0.2750526779232383,0.07638888888888884
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,2,0.3697916666666667,0.36979166666666663,0.324953864758736,0.1597222222222222
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,3,0.2777777777777778,0.2777777777777778,0.26515061627187875,0.03703703703703709
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,4,0.2743055555555556,0.2743055555555556,0.24894095331140434,0.03240740740740744
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,5,0.2795138888888889,0.2795138888888889,0.21745645262627147,0.03935185185185186
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,6,0.3020833333333333,0.3020833333333333,0.2959835733141064,0.06944444444444442
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,7,0.3888888888888889,0.3888888888888889,0.3467185519159203,0.18518518518518523
bci_iv_2a,CSP_BPE_LogReg,1024,42,LOSO,8,0.3871527777777778,0.3871527777777778,0.2938530489533716,0.18287037037037035
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,0,0.2916666666666667,0.2916666666666667,0.28296579422328666,0.05555555555555558
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,1,0.3038194444444444,0.3038194444444444,0.27374509840664807,0.0717592592592593
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,2,0.3680555555555556,0.3680555555555556,0.32620857159364347,0.15740740740740744
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,3,0.2743055555555556,0.2743055555555556,0.26236375976822984,0.03240740740740744
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,4,0.2743055555555556,0.2743055555555555,0.24729287862282945,0.03240740740740744
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,5,0.2916666666666667,0.2916666666666667,0.21830211127125432,0.05555555555555558
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,6,0.2951388888888889,0.29513888888888884,0.2912708254598962,0.06018518518518523
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,7,0.3923611111111111,0.3923611111111111,0.33758609975756404,0.18981481481481477
bci_iv_2a,CSP_BPE_LogReg,1024,123,LOSO,8,0.3871527777777778,0.3871527777777778,0.301305847727892,0.18287037037037035
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,0,0.2760416666666667,0.27604166666666663,0.25402591417791565,0.03472222222222221
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,1,0.3125,0.3125,0.2799176166180608,0.08333333333333337
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,2,0.3628472222222222,0.3628472222222222,0.3208134843198678,0.1504629629629629
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,3,0.2708333333333333,0.27083333333333337,0.25418194495116486,0.02777777777777779
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,4,0.2725694444444444,0.2725694444444444,0.24548056325643522,0.03009259259259256
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,5,0.28125,0.28125,0.21762209984652886,0.04166666666666663
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,6,0.3038194444444444,0.3038194444444445,0.3013768072080797,0.0717592592592593
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,7,0.3923611111111111,0.3923611111111111,0.3427270565018887,0.18981481481481477
bci_iv_2a,CSP_BPE_LogReg,1024,456,LOSO,8,0.3871527777777778,0.3871527777777778,0.2940021410997723,0.18287037037037035
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,0,0.2829861111111111,0.28298611111111116,0.2543760967381314,0.04398148148148151
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,1,0.3142361111111111,0.3142361111111111,0.28380312018022524,0.08564814814814814
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,2,0.3697916666666667,0.36979166666666663,0.3307420522466244,0.1597222222222222
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,3,0.2777777777777778,0.2777777777777778,0.26749854207298807,0.03703703703703709
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,4,0.2760416666666667,0.27604166666666663,0.2486722939930168,0.03472222222222221
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,5,0.28125,0.28125,0.21645668539831922,0.04166666666666663
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,6,0.2986111111111111,0.2986111111111111,0.2943578599396113,0.06481481481481477
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,7,0.3888888888888889,0.3888888888888889,0.3467185519159203,0.18518518518518523
bci_iv_2a,CSP_BPE_LogReg,1024,789,LOSO,8,0.3888888888888889,0.3888888888888889,0.29512141927457797,0.18518518518518523
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,0,0.2621527777777778,0.2621527777777778,0.2463322478967091,0.01620370370370372
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,1,0.3055555555555556,0.3055555555555555,0.27737100028554595,0.07407407407407407
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,2,0.3663194444444444,0.3663194444444444,0.3193989867098157,0.15509259259259256
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,3,0.2777777777777778,0.2777777777777778,0.26673293493706796,0.03703703703703709
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,4,0.2690972222222222,0.2690972222222222,0.2433654284910241,0.02546296296296291
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,5,0.2829861111111111,0.2829861111111111,0.21867293110888109,0.04398148148148151
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,6,0.296875,0.296875,0.2938458243343903,0.0625
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,7,0.3871527777777778,0.3871527777777778,0.34244764357979407,0.18287037037037035
bci_iv_2a,CSP_BPE_LogReg,1024,2024,LOSO,8,0.3958333333333333,0.39583333333333337,0.30631415221470765,0.19444444444444442
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,0,0.3142361111111111,0.31423611111111116,0.2984583180295696,0.08564814814814814
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,1,0.328125,0.328125,0.31713954376810627,0.10416666666666663
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,2,0.3263888888888889,0.3263888888888889,0.31687206703624154,0.10185185185185186
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,3,0.2725694444444444,0.2725694444444445,0.26911117211818536,0.03009259259259256
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,4,0.2621527777777778,0.2621527777777778,0.2588797255534899,0.01620370370370372
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,5,0.2708333333333333,0.27083333333333337,0.25064159167080735,0.02777777777777779
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,6,0.2760416666666667,0.27604166666666663,0.27371469542456983,0.03472222222222221
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,7,0.4131944444444444,0.4131944444444444,0.40412682124511795,0.21759259259259256
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,42,LOSO,8,0.3489583333333333,0.34895833333333337,0.31501764541542165,0.13194444444444442
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,0,0.3125,0.3125,0.2930690670300753,0.08333333333333337
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,1,0.328125,0.328125,0.3120321676781639,0.10416666666666663
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,2,0.3229166666666667,0.32291666666666663,0.31308412010409414,0.09722222222222221
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,3,0.2760416666666667,0.2760416666666667,0.273097480998097,0.03472222222222221
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,4,0.2604166666666667,0.26041666666666663,0.257495888259877,0.01388888888888884
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,5,0.2777777777777778,0.2777777777777778,0.2584115673714367,0.03703703703703709
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,6,0.2760416666666667,0.27604166666666663,0.2733626663538804,0.03472222222222221
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,7,0.4131944444444444,0.4131944444444444,0.40129066296883903,0.21759259259259256
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,123,LOSO,8,0.3506944444444444,0.3506944444444444,0.31633202488795653,0.1342592592592593
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,0,0.3125,0.3125,0.2972505168047959,0.08333333333333337
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,1,0.3263888888888889,0.3263888888888889,0.3146930617632534,0.10185185185185186
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,2,0.3246527777777778,0.3246527777777778,0.31473025919228453,0.09953703703703709
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,3,0.2829861111111111,0.2829861111111111,0.2782039703434237,0.04398148148148151
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,4,0.2638888888888889,0.2638888888888889,0.2609779762609611,0.01851851851851849
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,5,0.2708333333333333,0.2708333333333333,0.2497931697259308,0.02777777777777779
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,6,0.2760416666666667,0.27604166666666663,0.2742138287695427,0.03472222222222221
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,7,0.4114583333333333,0.41145833333333337,0.402241077078672,0.2152777777777778
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,456,LOSO,8,0.3489583333333333,0.34895833333333337,0.31512368790202894,0.13194444444444442
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,0,0.3159722222222222,0.3159722222222222,0.3011062267701245,0.08796296296296291
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,1,0.328125,0.328125,0.3161564598735106,0.10416666666666663
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,2,0.3177083333333333,0.31770833333333337,0.3101040982253218,0.09027777777777779
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,3,0.2743055555555556,0.2743055555555556,0.27048075673906513,0.03240740740740744
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,4,0.2638888888888889,0.26388888888888884,0.2600336525772903,0.01851851851851849
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,5,0.2743055555555556,0.2743055555555556,0.2538682911234695,0.03240740740740744
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,6,0.2777777777777778,0.2777777777777778,0.2757283097864082,0.03703703703703709
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,7,0.4131944444444444,0.4131944444444444,0.40412682124511795,0.21759259259259256
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,789,LOSO,8,0.3489583333333333,0.34895833333333337,0.31501764541542165,0.13194444444444442
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,0,0.3350694444444444,0.3350694444444444,0.32087830268113504,0.11342592592592593
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,1,0.3211805555555556,0.3211805555555556,0.30784760460383076,0.09490740740740744
bci_iv_2a,CSP_Envelope_BPE_LogReg,1024,2024,LOSO,2,0.3263888888888889,0.32638888888888895,0.3160524135701441,0.10185185185185186
