dataset,classifier,vocab_size,n_codes,seed,cv_strategy,fold,accuracy,balanced_accuracy,macro_f1,kappa
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,0,0.3315972222222222,0.3315972222222222,0.3310577320047757,0.10879629629629628
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,1,0.23958333333333334,0.23958333333333331,0.23005775702672715,-0.01388888888888884
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,2,0.3298611111111111,0.32986111111111116,0.3290019576080515,0.10648148148148151
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,3,0.2760416666666667,0.27604166666666663,0.2639117841978315,0.03472222222222221
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,4,0.2569444444444444,0.2569444444444444,0.2537532098097893,0.0092592592592593
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,5,0.2552083333333333,0.25520833333333337,0.2518573914740391,0.00694444444444442
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,6,0.3090277777777778,0.3090277777777778,0.3033379000207786,0.07870370370370372
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,7,0.3628472222222222,0.3628472222222222,0.36401595305302514,0.1504629629629629
bci_iv_2a,Spatial_BPE_LogReg,1024,128,42,LOSO,8,0.3177083333333333,0.31770833333333337,0.31987133516385347,0.09027777777777779
bci_iv_2a,Spatial_BPE_RF,1024,128,42,LOSO,0,0.4322916666666667,0.43229166666666663,0.4341423473478007,0.24305555555555558
bci_iv_2a,Spatial_BPE_RF,1024,128,42,LOSO,1,0.24479166666666666,0.24479166666666666,0.16575259615629676,-0.00694444444444442
bci_iv_2a,Spatial_BPE_RF,1024,128,42,LOSO,2,0.3697916666666667,0.36979166666666663,0.33059412667151034,0.1597222222222222
bci_iv_2a,Spatial_BPE_RF,1024,128,42,LOSO,3,0.2916666666666667,0.29166666666666663,0.2822849430708292,0.05555555555555558
bci_iv_2a,Spatial_BPE_RF,1024,128,42,LOSO,4,0.25,0.25,0.18295947053430214,0.0
